"No.","Time","Source","Destination","Protocol","Length","Signal strength (dBm)","Data rate","Info"
"1750","1.887816","10.1.0.11","10.1.0.4","TCP","156","-37 dBm","","49156  >  afs3-errors(7006) [SYN] Seq=0 Win=65535 Len=0 TSval=1900 TSecr=0 WS=4 SACK_PERM"
"1803","1.892972","10.1.0.4","10.1.0.11","TCP","138","","","afs3-errors(7006)  >  49156 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 TSval=1900 TSecr=1900 WS=4 SACK_PERM"
"1808","1.893374","10.1.0.11","10.1.0.4","TCP","152","-37 dBm","","49156  >  afs3-errors(7006) [ACK] Seq=1 Ack=1 Win=131072 Len=0 TSval=1905 TSecr=1900"
"1945","1.904351","10.1.0.4","10.1.0.11","TCP","138","","","49153  >  afs3-bos(7007) [SYN] Seq=0 Win=65535 Len=0 TSval=1900 TSecr=0 WS=4 SACK_PERM"
"1951","1.904762","10.1.0.11","10.1.0.4","TCP","156","-37 dBm","","afs3-bos(7007)  >  49153 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 TSval=1916 TSecr=1900 WS=4 SACK_PERM"
"2029","1.909927","10.1.0.4","10.1.0.11","TCP","134","","","49153  >  afs3-bos(7007) [ACK] Seq=1 Ack=1 Win=131072 Len=0 TSval=1917 TSecr=1916"
"7272","4.844533","10.1.0.11","10.1.0.4","WebSocket","1152","-44 dBm","","WebSocket Continuation[FRAGMENT]  "
"7284","4.845329","10.1.0.4","10.1.0.11","TCP","134","","","afs3-errors(7006)  >  49156 [ACK] Seq=1 Ack=1001 Win=131072 Len=0 TSval=4857 TSecr=4856"
"7286","4.847633","10.1.0.11","10.1.0.4","WebSocket","2242","-44 dBm","","WebSocket Continuation[FRAGMENT]  "
"7298","4.848429","10.1.0.4","10.1.0.11","TCP","134","","","afs3-errors(7006)  >  49156 [ACK] Seq=1 Ack=3001 Win=131072 Len=0 TSval=4860 TSecr=4857"
"7300","4.851697","10.1.0.11","10.1.0.4","WebSocket","4394","-47 dBm","","WebSocket Continuation[FRAGMENT]  "
"7318","4.853009","10.1.0.4","10.1.0.11","TCP","224","","","afs3-errors(7006)  >  49156 [ACK] Seq=1 Ack=7001 Win=131072 Len=0 TSval=4864 TSecr=4860"
"7338","4.864700","10.1.0.11","10.1.0.4","WebSocket","6546","-47 dBm","","WebSocket Continuation[FRAGMENT]  "
"7339","4.864700","10.1.0.11","10.1.0.4","WebSocket","6546","-47 dBm","","WebSocket Continuation[FRAGMENT]  "
"7340","4.864700","10.1.0.11","10.1.0.4","WebSocket","1152","-47 dBm","","WebSocket Continuation[FRAGMENT]  "
"7361","4.866112","10.1.0.4","10.1.0.11","WebSocket","6528","","","WebSocket Continuation[FRAGMENT]  "
