"No.","Time","Source","Destination","Protocol","Length","Signal strength (dBm)","Data rate","Info"
"555","0.437931","10.1.0.1","10.1.0.11","TCP","138","","","49153  >  afs3-callback(7001) [SYN] Seq=0 Win=65535 Len=0 TSval=450 TSecr=0 WS=4 SACK_PERM"
"557","0.438155","10.1.0.11","10.1.0.1","TCP","156","-37 dBm","","49153  >  afs3-fileserver(7000) [SYN] Seq=0 Win=65535 Len=0 TSval=450 TSecr=0 WS=4 SACK_PERM"
"674","0.443175","10.1.0.1","10.1.0.11","TCP","138","","","afs3-fileserver(7000)  >  49153 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 TSval=450 TSecr=450 WS=4 SACK_PERM"
"675","0.443481","10.1.0.11","10.1.0.1","TCP","156","-37 dBm","","afs3-callback(7001)  >  49153 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 TSval=450 TSecr=450 WS=4 SACK_PERM"
"801","0.448885","10.1.0.1","10.1.0.11","TCP","138","","","[TCP Retransmission] afs3-fileserver(7000)  >  49153 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 TSval=450 TSecr=450 WS=4 SACK_PERM"
"805","0.449143","10.1.0.1","10.1.0.11","TCP","134","","","49153  >  afs3-callback(7001) [ACK] Seq=1 Ack=1 Win=131072 Len=0 TSval=455 TSecr=450"
"807","0.449335","10.1.0.11","10.1.0.1","TCP","152","-37 dBm","","49153  >  afs3-fileserver(7000) [ACK] Seq=1 Ack=1 Win=131072 Len=0 TSval=461 TSecr=450"
"9936","4.845329","10.1.0.1","10.1.0.11","WebSocket","2224","","","WebSocket Continuation[FRAGMENT]  "
"9949","4.848429","10.1.0.1","10.1.0.11","WebSocket","1134","","","WebSocket Continuation[FRAGMENT]  "
"9970","4.853009","10.1.0.1","10.1.0.11","WebSocket","2224","","","WebSocket Continuation[FRAGMENT]  "
"9972","4.857154","10.1.0.11","10.1.0.1","Gryphon","6546","-46 dBm","",""
"9973","4.857154","10.1.0.11","10.1.0.1","Gryphon","1152","-46 dBm","",""
"9993","4.858466","10.1.0.1","10.1.0.11","WebSocket","2224","","","WebSocket Continuation[FRAGMENT]  "
"9995","4.864700","10.1.0.11","10.1.0.1","Gryphon","6546","-46 dBm","",""
