"No.","Time","Source","Destination","Protocol","Length","Signal strength (dBm)","Data rate","Info"
"5692","1.888064","10.1.0.11","10.1.0.4","TCP","156","","","49156  >  afs3-errors(7006) [SYN] Seq=0 Win=65535 Len=0 TSval=1900 TSecr=0 WS=4 SACK_PERM"
"5895","1.893344","10.1.0.4","10.1.0.11","TCP","138","-43 dBm","","afs3-errors(7006)  >  49156 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 TSval=1900 TSecr=1900 WS=4 SACK_PERM"
"5900","1.893622","10.1.0.11","10.1.0.4","TCP","152","","","49156  >  afs3-errors(7006) [ACK] Seq=1 Ack=1 Win=131072 Len=0 TSval=1905 TSecr=1900"
"6343","1.904723","10.1.0.4","10.1.0.11","TCP","138","-43 dBm","","49153  >  afs3-bos(7007) [SYN] Seq=0 Win=65535 Len=0 TSval=1900 TSecr=0 WS=4 SACK_PERM"
"6349","1.905010","10.1.0.11","10.1.0.4","TCP","156","","","afs3-bos(7007)  >  49153 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 TSval=1916 TSecr=1900 WS=4 SACK_PERM"
"6577","1.910299","10.1.0.4","10.1.0.11","TCP","134","-43 dBm","","49153  >  afs3-bos(7007) [ACK] Seq=1 Ack=1 Win=131072 Len=0 TSval=1917 TSecr=1916"
"26487","4.844445","10.1.0.11","10.1.0.4","WebSocket","1152","","","WebSocket Continuation[FRAGMENT]  "
"26520","4.846441","10.1.0.4","10.1.0.11","TCP","134","-43 dBm","","afs3-errors(7006)  >  49156 [ACK] Seq=1 Ack=1001 Win=131072 Len=0 TSval=4857 TSecr=4856"
"26525","4.846505","10.1.0.11","10.1.0.4","WebSocket","2242","","","WebSocket Continuation[FRAGMENT]  "
"26555","4.849429","10.1.0.4","10.1.0.11","TCP","134","-43 dBm","","afs3-errors(7006)  >  49156 [ACK] Seq=1 Ack=3001 Win=131072 Len=0 TSval=4860 TSecr=4857"
"26567","4.849529","10.1.0.11","10.1.0.4","WebSocket","4394","","","WebSocket Continuation[FRAGMENT]  "
"26608","4.854873","10.1.0.4","10.1.0.11","TCP","224","-46 dBm","","afs3-errors(7006)  >  49156 [ACK] Seq=1 Ack=7001 Win=131072 Len=0 TSval=4864 TSecr=4860"
"26681","4.860452","10.1.0.11","10.1.0.4","WebSocket","6546","","","WebSocket Continuation[FRAGMENT]  "
"26682","4.860452","10.1.0.11","10.1.0.4","WebSocket","6546","","","WebSocket Continuation[FRAGMENT]  "
"26683","4.860452","10.1.0.11","10.1.0.4","WebSocket","1152","","","WebSocket Continuation[FRAGMENT]  "
"26727","4.871272","10.1.0.4","10.1.0.11","WebSocket","6528","-46 dBm","","WebSocket Continuation[FRAGMENT]  "
"26732","4.871385","10.1.0.11","10.1.0.4","TCP","318","","","afs3-bos(7007)  >  49153 [ACK] Seq=1 Ack=5001 Win=131072 Len=0 TSval=4883 TSecr=4870"
"26777","4.876726","10.1.0.4","10.1.0.11","TCP","528","-46 dBm","","afs3-errors(7006)  >  49156 [ACK] Seq=1 Ack=19001 Win=131072 Len=0 TSval=4876 TSecr=4869"
"26838","4.887645","10.1.0.4","10.1.0.11","WebSocket","6528","-46 dBm","","WebSocket Continuation[FRAGMENT]  "
"26844","4.887767","10.1.0.11","10.1.0.4","TCP","318","","","afs3-bos(7007)  >  49153 [ACK] Seq=1 Ack=11001 Win=131072 Len=0 TSval=4899 TSecr=4875"
"26889","4.893107","10.1.0.4","10.1.0.11","WebSocket","4876","-46 dBm","","WebSocket Continuation[FRAGMENT]  "
"26895","4.893211","10.1.0.11","10.1.0.4","WebSocket","6546","","","WebSocket Continuation[FRAGMENT]  "
"26896","4.893211","10.1.0.11","10.1.0.4","WebSocket","6970","","","WebSocket Continuation[FRAGMENT]  "
"26953","4.904064","10.1.0.4","10.1.0.11","WebSocket","7028","-46 dBm","","WebSocket Continuation[FRAGMENT]  "
"26963","4.904159","10.1.0.11","10.1.0.4","WebSocket","6394","","","WebSocket Continuation[FRAGMENT]  "
"26964","4.904159","10.1.0.11","10.1.0.4","WebSocket","7046","","","WebSocket Continuation[FRAGMENT]  "
"26965","4.904159","10.1.0.11","10.1.0.4","WebSocket","1152","","","WebSocket Continuation[FRAGMENT]  "
"27018","4.914995","10.1.0.4","10.1.0.11","WebSocket","5876","-46 dBm","","WebSocket Continuation[FRAGMENT]  "
"27032","4.915117","10.1.0.11","10.1.0.4","WebSocket","6546","","","WebSocket Continuation[FRAGMENT]  "
"27127","4.937150","10.1.0.4","10.1.0.11","WebSocket","6376","-46 dBm","","WebSocket Continuation[FRAGMENT]  "
"27164","4.942615","10.1.0.4","10.1.0.11","WebSocket","1634","-46 dBm","","WebSocket Continuation[FRAGMENT]  "
"27210","4.948053","10.1.0.4","10.1.0.11","TCP","1136","-46 dBm","","afs3-errors(7006)  >  49156 [ACK] Seq=1 Ack=51001 Win=131072 Len=0 TSval=4931 TSecr=4895"
"27216","4.948157","10.1.0.11","10.1.0.4","TCP","850","","","afs3-bos(7007)  >  49153 [ACK] Seq=1 Ack=36001 Win=131072 Len=0 TSval=4954 TSecr=4900"
"27262","4.953497","10.1.0.4","10.1.0.11","WebSocket","4800","-46 dBm","","WebSocket Continuation[FRAGMENT]  "
"27267","4.953592","10.1.0.11","10.1.0.4","WebSocket","6394","","","WebSocket Continuation[FRAGMENT]  "
"27268","4.953592","10.1.0.11","10.1.0.4","WebSocket","6394","","","WebSocket Continuation[FRAGMENT]  "
"27269","4.953592","10.1.0.11","10.1.0.4","WebSocket","1652","","","WebSocket Continuation[FRAGMENT]  "
"27328","4.964449","10.1.0.4","10.1.0.11","WebSocket","6376","-46 dBm","","WebSocket Continuation[FRAGMENT]  "
"27333","4.964544","10.1.0.11","10.1.0.4","WebSocket","6394","","","WebSocket Continuation[FRAGMENT]  "
"27334","4.964544","10.1.0.11","10.1.0.4","WebSocket","6394","","","WebSocket Continuation[FRAGMENT]  "
"27335","4.964544","10.1.0.11","10.1.0.4","WebSocket","1652","","","WebSocket Continuation[FRAGMENT]  "
"27392","4.975361","10.1.0.4","10.1.0.11","TCP","756","-46 dBm","","afs3-errors(7006)  >  49156 [ACK] Seq=1 Ack=77501 Win=131072 Len=0 TSval=4980 TSecr=4960"
"27398","4.975598","10.1.0.11","10.1.0.4","WebSocket","6394","","","WebSocket Continuation[FRAGMENT]  "
"27399","4.975598","10.1.0.11","10.1.0.4","WebSocket","6394","","","WebSocket Continuation[FRAGMENT]  "
"27449","4.986263","10.1.0.4","10.1.0.11","TCP","376","-46 dBm","","afs3-errors(7006)  >  49156 [ACK] Seq=1 Ack=89501 Win=131072 Len=0 TSval=4991 TSecr=4960"
"27458","4.986606","10.1.0.11","10.1.0.4","WebSocket","6394","","","WebSocket Continuation[FRAGMENT]  "
"27459","4.986606","10.1.0.11","10.1.0.4","WebSocket","6394","","","WebSocket Continuation[FRAGMENT]  "
"27513","4.997149","10.1.0.4","10.1.0.11","TCP","376","-46 dBm","","afs3-errors(7006)  >  49156 [ACK] Seq=1 Ack=101501 Win=131072 Len=0 TSval=5002 TSecr=4987"
"27518","4.997244","10.1.0.11","10.1.0.4","WebSocket","6394","","","WebSocket Continuation[FRAGMENT]  "
"27519","4.997244","10.1.0.11","10.1.0.4","WebSocket","6394","","","WebSocket Continuation[FRAGMENT]  "
"27520","4.997244","10.1.0.11","10.1.0.4","WebSocket","1652","","","WebSocket Continuation[FRAGMENT]  "
"27577","5.008082","10.1.0.4","10.1.0.11","WebSocket","6376","-46 dBm","","WebSocket Continuation[FRAGMENT]  "
"27583","5.008204","10.1.0.11","10.1.0.4","WebSocket","6394","","","WebSocket Continuation[FRAGMENT]  "
"27584","5.008204","10.1.0.11","10.1.0.4","WebSocket","6394","","","WebSocket Continuation[FRAGMENT]  "
"27585","5.008204","10.1.0.11","10.1.0.4","WebSocket","1652","","","WebSocket Continuation[FRAGMENT]  "
"27640","5.018976","10.1.0.4","10.1.0.11","TCP","756","-46 dBm","","afs3-errors(7006)  >  49156 [ACK] Seq=1 Ack=128501 Win=131072 Len=0 TSval=5024 TSecr=4998"
"27650","5.019656","10.1.0.11","10.1.0.4","WebSocket","6394","","","WebSocket Continuation[FRAGMENT]  "
"27651","5.019656","10.1.0.11","10.1.0.4","WebSocket","6394","","","WebSocket Continuation[FRAGMENT]  "
"27705","5.030197","10.1.0.4","10.1.0.11","WebSocket","6376","-46 dBm","","WebSocket Continuation[FRAGMENT]  "
"27709","5.030319","10.1.0.11","10.1.0.4","WebSocket","6394","","","WebSocket Continuation[FRAGMENT]  "
"27710","5.030319","10.1.0.11","10.1.0.4","WebSocket","6394","","","WebSocket Continuation[FRAGMENT]  "
"27711","5.030319","10.1.0.11","10.1.0.4","WebSocket","1652","","","WebSocket Continuation[FRAGMENT]  "
"27767","5.041191","10.1.0.4","10.1.0.11","WebSocket","6376","-46 dBm","","WebSocket Continuation[FRAGMENT]  "
"27773","5.041286","10.1.0.11","10.1.0.4","TCP","774","","","afs3-bos(7007)  >  49153 [ACK] Seq=1 Ack=63001 Win=131072 Len=0 TSval=5053 TSecr=4960"
"27818","5.046626","10.1.0.4","10.1.0.11","TCP","756","-46 dBm","","afs3-errors(7006)  >  49156 [ACK] Seq=1 Ack=155501 Win=131072 Len=0 TSval=5047 TSecr=5031"
"27830","5.046730","10.1.0.11","10.1.0.4","WebSocket","6394","","","WebSocket Continuation[FRAGMENT]  "
"27831","5.046730","10.1.0.11","10.1.0.4","WebSocket","6394","","","WebSocket Continuation[FRAGMENT]  "
"27832","5.046730","10.1.0.11","10.1.0.4","WebSocket","1652","","","WebSocket Continuation[FRAGMENT]  "
"27884","5.057578","10.1.0.4","10.1.0.11","WebSocket","6376","-46 dBm","","WebSocket Continuation[FRAGMENT]  "
"27902","5.057682","10.1.0.11","10.1.0.4","WebSocket","6394","","","WebSocket Continuation[FRAGMENT]  "
"27903","5.057682","10.1.0.11","10.1.0.4","WebSocket","6394","","","WebSocket Continuation[FRAGMENT]  "
"27904","5.057682","10.1.0.11","10.1.0.4","WebSocket","1652","","","WebSocket Continuation[FRAGMENT]  "
"27951","5.068502","10.1.0.4","10.1.0.11","WebSocket","6376","-46 dBm","","WebSocket Continuation[FRAGMENT]  "
"27972","5.068651","10.1.0.11","10.1.0.4","WebSocket","6394","","","WebSocket Continuation[FRAGMENT]  "
"27973","5.068651","10.1.0.11","10.1.0.4","WebSocket","6394","","","WebSocket Continuation[FRAGMENT]  "
"27974","5.068651","10.1.0.11","10.1.0.4","WebSocket","1652","","","WebSocket Continuation[FRAGMENT]  "
"28015","5.079480","10.1.0.4","10.1.0.11","WebSocket","6376","-46 dBm","","WebSocket Continuation[FRAGMENT]  "
"28080","5.090485","10.1.0.4","10.1.0.11","WebSocket","6376","-46 dBm","","WebSocket Continuation[FRAGMENT]  "
"28083","5.090580","10.1.0.11","10.1.0.4","WebSocket","6394","","","WebSocket Continuation[FRAGMENT]  "
"28084","5.090580","10.1.0.11","10.1.0.4","WebSocket","6394","","","WebSocket Continuation[FRAGMENT]  "
"28199","5.112325","10.1.0.4","10.1.0.11","WebSocket","6376","-46 dBm","","WebSocket Continuation[FRAGMENT]  "
"28266","5.123267","10.1.0.4","10.1.0.11","WebSocket","6376","-46 dBm","","WebSocket Continuation[FRAGMENT]  "
"28333","5.134555","10.1.0.4","10.1.0.11","WebSocket","6376","-46 dBm","","WebSocket Continuation[FRAGMENT]  "
"28398","5.145524","10.1.0.4","10.1.0.11","WebSocket","6376","-46 dBm","","WebSocket Continuation[FRAGMENT]  "
"28464","5.156422","10.1.0.4","10.1.0.11","WebSocket","4800","-46 dBm","","WebSocket Continuation[FRAGMENT]  "
"28523","5.166678","10.1.0.4","10.1.0.11","TCP","1364","-46 dBm","","afs3-errors(7006)  >  49156 [ACK] Seq=1 Ack=206501 Win=131072 Len=0 TSval=5106 TSecr=5058"
"28527","5.166850","10.1.0.11","10.1.0.4","WebSocket","6394","","","WebSocket Continuation[FRAGMENT]  "
"28528","5.166850","10.1.0.11","10.1.0.4","WebSocket","6394","","","WebSocket Continuation[FRAGMENT]  "
"28529","5.166850","10.1.0.11","10.1.0.4","WebSocket","1652","","","WebSocket Continuation[FRAGMENT]  "
"28590","5.176998","10.1.0.4","10.1.0.11","TCP","452","-46 dBm","","afs3-errors(7006)  >  49156 [ACK] Seq=1 Ack=221501 Win=131072 Len=0 TSval=5183 TSecr=5178"
"28594","5.177188","10.1.0.11","10.1.0.4","WebSocket","6394","","","WebSocket Continuation[FRAGMENT]  "
"28595","5.177188","10.1.0.11","10.1.0.4","WebSocket","6394","","","WebSocket Continuation[FRAGMENT]  "
"28596","5.177188","10.1.0.11","10.1.0.4","WebSocket","1652","","","WebSocket Continuation[FRAGMENT]  "
"28655","5.184545","10.1.0.4","10.1.0.11","TCP","376","-46 dBm","","afs3-errors(7006)  >  49156 [ACK] Seq=1 Ack=233501 Win=131072 Len=0 TSval=5193 TSecr=5178"
"28658","5.184613","10.1.0.11","10.1.0.4","WebSocket","3242","","","WebSocket Continuation[FRAGMENT]  "
"28703","5.188119","10.1.0.11","10.1.0.4","WebSocket","6394","","","WebSocket Continuation[FRAGMENT]  "
"28704","5.188119","10.1.0.11","10.1.0.4","WebSocket","6394","","","WebSocket Continuation[FRAGMENT]  "
"28705","5.188119","10.1.0.11","10.1.0.4","WebSocket","1652","","","WebSocket Continuation[FRAGMENT]  "
"28769","5.194925","10.1.0.11","10.1.0.4","WebSocket","4818","","","WebSocket Continuation[FRAGMENT]  "
"28820","5.199921","10.1.0.4","10.1.0.11","TCP","528","-46 dBm","","afs3-errors(7006)  >  49156 [ACK] Seq=1 Ack=251501 Win=131072 Len=0 TSval=5204 TSecr=5178"
"28826","5.199989","10.1.0.11","10.1.0.4","TCP","1458","","","afs3-bos(7007)  >  49153 [ACK] Seq=1 Ack=117001 Win=131072 Len=0 TSval=5168 TSecr=5053"
"28876","5.204505","10.1.0.4","10.1.0.11","TCP","134","-46 dBm","","afs3-errors(7006)  >  49156 [ACK] Seq=1 Ack=254501 Win=131072 Len=0 TSval=5210 TSecr=5178"
"28879","5.204591","10.1.0.11","10.1.0.4","WebSocket","6394","","","WebSocket Continuation[FRAGMENT]  "
"28880","5.204591","10.1.0.11","10.1.0.4","WebSocket","6394","","","WebSocket Continuation[FRAGMENT]  "
"28881","5.204591","10.1.0.11","10.1.0.4","WebSocket","1652","","","WebSocket Continuation[FRAGMENT]  "
"28943","5.215420","10.1.0.4","10.1.0.11","WebSocket","6376","-46 dBm","","WebSocket Continuation[FRAGMENT]  "
"28946","5.215515","10.1.0.11","10.1.0.4","WebSocket","6394","","","WebSocket Continuation[FRAGMENT]  "
"28947","5.215515","10.1.0.11","10.1.0.4","WebSocket","6394","","","WebSocket Continuation[FRAGMENT]  "
"28948","5.215515","10.1.0.11","10.1.0.4","WebSocket","1652","","","WebSocket Continuation[FRAGMENT]  "
