"No.","Time","Source","Destination","Protocol","Length","Signal strength (dBm)","Data rate","Info"
"12559","8.415419","10.1.0.11","10.1.0.10","WebSocket","6546","-42 dBm","","WebSocket Continuation[FRAGMENT]  "
"12560","8.415419","10.1.0.11","10.1.0.10","WebSocket","6546","-42 dBm","","WebSocket Continuation[FRAGMENT]  "
"12561","8.415419","10.1.0.11","10.1.0.10","WebSocket","1152","-42 dBm","","WebSocket Continuation[FRAGMENT]  "
"12582","8.416826","10.1.0.10","10.1.0.11","WebSocket","6528","","","WebSocket Continuation[FRAGMENT]  "
"12584","8.422612","10.1.0.11","10.1.0.10","TCP","2446","-42 dBm","","doceri-ctl(7019)  >  49153 [ACK] Seq=1 Ack=1214001 Win=131072 Len=0 TSval=8434 TSecr=8216"
"12604","8.423920","10.1.0.10","10.1.0.11","TCP","1592","","","fisa-svc(7018)  >  49162 [ACK] Seq=1 Ack=3068001 Win=131072 Len=0 TSval=8427 TSecr=8326"
"12626","8.433189","10.1.0.10","10.1.0.11","WebSocket","7028","","","WebSocket Continuation[FRAGMENT]  "
"12628","8.442737","10.1.0.11","10.1.0.10","WebSocket","6546","-42 dBm","","WebSocket Continuation[FRAGMENT]  "
"12629","8.442737","10.1.0.11","10.1.0.10","WebSocket","6546","-42 dBm","","WebSocket Continuation[FRAGMENT]  "
"12630","8.442737","10.1.0.11","10.1.0.10","WebSocket","1152","-42 dBm","","WebSocket Continuation[FRAGMENT]  "
"12651","8.444135","10.1.0.10","10.1.0.11","WebSocket","6376","","","WebSocket Continuation[FRAGMENT]  "
"12653","8.453638","10.1.0.11","10.1.0.10","WebSocket","6546","-42 dBm","","WebSocket Continuation[FRAGMENT]  "
"12654","8.453638","10.1.0.11","10.1.0.10","WebSocket","6546","-42 dBm","","WebSocket Continuation[FRAGMENT]  "
"12655","8.453638","10.1.0.11","10.1.0.10","WebSocket","1152","-42 dBm","","WebSocket Continuation[FRAGMENT]  "
"12676","8.455046","10.1.0.10","10.1.0.11","WebSocket","6376","","","WebSocket Continuation[FRAGMENT]  "
"12678","8.464585","10.1.0.11","10.1.0.10","WebSocket","6546","-42 dBm","","WebSocket Continuation[FRAGMENT]  "
"12679","8.464585","10.1.0.11","10.1.0.10","WebSocket","6546","-42 dBm","","WebSocket Continuation[FRAGMENT]  "
"12680","8.464585","10.1.0.11","10.1.0.10","WebSocket","1152","-42 dBm","","WebSocket Continuation[FRAGMENT]  "
"12699","8.465913","10.1.0.10","10.1.0.11","TCP","1516","","","fisa-svc(7018)  >  49162 [ACK] Seq=1 Ack=3106001 Win=131072 Len=0 TSval=8476 TSecr=8409"
"12703","8.475643","10.1.0.11","10.1.0.10","WebSocket","6546","-42 dBm","","WebSocket Continuation[FRAGMENT]  "
"12704","8.475643","10.1.0.11","10.1.0.10","WebSocket","6546","-42 dBm","","WebSocket Continuation[FRAGMENT]  "
"12705","8.475643","10.1.0.11","10.1.0.10","WebSocket","1152","-42 dBm","","WebSocket Continuation[FRAGMENT]  "
"12726","8.477068","10.1.0.10","10.1.0.11","WebSocket","6376","","","WebSocket Continuation[FRAGMENT]  "
"12748","8.487895","10.1.0.10","10.1.0.11","WebSocket","6376","","","WebSocket Continuation[FRAGMENT]  "
"12750","8.493366","10.1.0.11","10.1.0.10","TCP","926","-42 dBm","","doceri-ctl(7019)  >  49153 [ACK] Seq=1 Ack=1244501 Win=131072 Len=0 TSval=8505 TSecr=8308"
"12770","8.494675","10.1.0.10","10.1.0.11","TCP","604","","","fisa-svc(7018)  >  49162 [ACK] Seq=1 Ack=3120001 Win=131072 Len=0 TSval=8488 TSecr=8420"
"12772","8.502861","10.1.0.11","10.1.0.10","WebSocket","6546","-42 dBm","","WebSocket Continuation[FRAGMENT]  "
"12773","8.502861","10.1.0.11","10.1.0.10","WebSocket","6546","-42 dBm","","WebSocket Continuation[FRAGMENT]  "
"12774","8.502861","10.1.0.11","10.1.0.10","WebSocket","1152","-42 dBm","","WebSocket Continuation[FRAGMENT]  "
"12792","8.504490","10.1.0.10","10.1.0.11","TCP","528","","","fisa-svc(7018)  >  49162 [ACK] Seq=1 Ack=3132001 Win=131072 Len=0 TSval=8515 TSecr=8429"
"12796","8.514247","10.1.0.11","10.1.0.10","WebSocket","6546","-42 dBm","","WebSocket Continuation[FRAGMENT]  "
"12797","8.514247","10.1.0.11","10.1.0.10","WebSocket","6546","-42 dBm","","WebSocket Continuation[FRAGMENT]  "
"12798","8.514247","10.1.0.11","10.1.0.10","WebSocket","1152","-42 dBm","","WebSocket Continuation[FRAGMENT]  "
"12818","8.525047","10.1.0.11","10.1.0.10","WebSocket","6546","-42 dBm","","WebSocket Continuation[FRAGMENT]  "
"12819","8.525047","10.1.0.11","10.1.0.10","WebSocket","6546","-42 dBm","","WebSocket Continuation[FRAGMENT]  "
"12820","8.525047","10.1.0.11","10.1.0.10","WebSocket","1152","-42 dBm","","WebSocket Continuation[FRAGMENT]  "
"12841","8.526490","10.1.0.10","10.1.0.11","WebSocket","6376","","","WebSocket Continuation[FRAGMENT]  "
"12843","8.531897","10.1.0.11","10.1.0.10","TCP","242","-42 dBm","","doceri-ctl(7019)  >  49153 [ACK] Seq=1 Ack=1250501 Win=131072 Len=0 TSval=8543 TSecr=8308"
"12863","8.533205","10.1.0.10","10.1.0.11","TCP","1060","","","fisa-svc(7018)  >  49162 [ACK] Seq=1 Ack=3158001 Win=131072 Len=0 TSval=8537 TSecr=8450"
"12865","8.541419","10.1.0.11","10.1.0.10","WebSocket","6546","-42 dBm","","WebSocket Continuation[FRAGMENT]  "
"12866","8.541419","10.1.0.11","10.1.0.10","WebSocket","6546","-42 dBm","","WebSocket Continuation[FRAGMENT]  "
"12867","8.541419","10.1.0.11","10.1.0.10","WebSocket","1152","-42 dBm","","WebSocket Continuation[FRAGMENT]  "
