"No.","Time","Source","Destination","Protocol","Length","Signal strength (dBm)","Data rate","Info"
"8481","2.388058","10.1.0.11","10.1.0.5","TCP","156","","","49157  >  afs3-update(7008) [SYN] Seq=0 Win=65535 Len=0 TSval=2400 TSecr=0 WS=4 SACK_PERM"
"8684","2.393337","10.1.0.5","10.1.0.11","TCP","138","-42 dBm","","afs3-update(7008)  >  49157 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 TSval=2400 TSecr=2400 WS=4 SACK_PERM"
"8689","2.393651","10.1.0.11","10.1.0.5","TCP","152","","","49157  >  afs3-update(7008) [ACK] Seq=1 Ack=1 Win=131072 Len=0 TSval=2405 TSecr=2400"
"9157","2.404680","10.1.0.5","10.1.0.11","TCP","138","-42 dBm","","49153  >  afs3-rmtsys(7009) [SYN] Seq=0 Win=65535 Len=0 TSval=2400 TSecr=0 WS=4 SACK_PERM"
"9160","2.404835","10.1.0.11","10.1.0.5","TCP","156","","","afs3-rmtsys(7009)  >  49153 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 TSval=2416 TSecr=2400 WS=4 SACK_PERM"
"9397","2.410290","10.1.0.5","10.1.0.11","TCP","134","-42 dBm","","49153  >  afs3-rmtsys(7009) [ACK] Seq=1 Ack=1 Win=131072 Len=0 TSval=2417 TSecr=2416"
"26488","4.844445","10.1.0.11","10.1.0.5","WebSocket","1152","","","WebSocket Continuation[FRAGMENT]  "
"26562","4.849529","10.1.0.11","10.1.0.5","WebSocket","6546","","","WebSocket Continuation[FRAGMENT]  "
"26605","4.854873","10.1.0.5","10.1.0.11","TCP","376","-45 dBm","","afs3-update(7008)  >  49157 [ACK] Seq=1 Ack=7001 Win=131072 Len=0 TSval=4864 TSecr=4860"
"26619","4.854986","10.1.0.11","10.1.0.5","WebSocket","6546","","","WebSocket Continuation[FRAGMENT]  "
"26620","4.854986","10.1.0.11","10.1.0.5","WebSocket","1152","","","WebSocket Continuation[FRAGMENT]  "
"26665","4.860330","10.1.0.5","10.1.0.11","WebSocket","2224","-45 dBm","","WebSocket Continuation[FRAGMENT]  "
"26676","4.860452","10.1.0.11","10.1.0.5","WebSocket","6546","","","WebSocket Continuation[FRAGMENT]  "
"26677","4.860452","10.1.0.11","10.1.0.5","WebSocket","1152","","","WebSocket Continuation[FRAGMENT]  "
