"No.","Time","Source","Destination","Protocol","Length","Signal strength (dBm)","Data rate","Info"
"2496","2.837818","10.1.0.11","10.1.0.6","TCP","156","-25 dBm","","49158  >  ups-onlinet(7010) [SYN] Seq=0 Win=65535 Len=0 TSval=2850 TSecr=0 WS=4 SACK_PERM"
"2524","2.842974","10.1.0.6","10.1.0.11","TCP","138","","","ups-onlinet(7010)  >  49158 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 TSval=2850 TSecr=2850 WS=4 SACK_PERM"
"2529","2.843488","10.1.0.11","10.1.0.6","TCP","152","-25 dBm","","49158  >  ups-onlinet(7010) [ACK] Seq=1 Ack=1 Win=131072 Len=0 TSval=2855 TSecr=2850"
"2589","2.854392","10.1.0.6","10.1.0.11","TCP","138","","","49153  >  talon-disc(7011) [SYN] Seq=0 Win=65535 Len=0 TSval=2850 TSecr=0 WS=4 SACK_PERM"
"2592","2.854671","10.1.0.11","10.1.0.6","TCP","156","-25 dBm","","talon-disc(7011)  >  49153 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 TSval=2866 TSecr=2850 WS=4 SACK_PERM"
"2621","2.860038","10.1.0.6","10.1.0.11","TCP","134","","","49153  >  talon-disc(7011) [ACK] Seq=1 Ack=1 Win=131072 Len=0 TSval=2867 TSecr=2866"
"4997","4.844533","10.1.0.11","10.1.0.6","WebSocket","1152","-32 dBm","","WebSocket Continuation[FRAGMENT]  "
"5009","4.845329","10.1.0.6","10.1.0.11","TCP","134","","","ups-onlinet(7010)  >  49158 [ACK] Seq=1 Ack=1001 Win=131072 Len=0 TSval=4857 TSecr=4856"
"5021","4.851697","10.1.0.11","10.1.0.6","WebSocket","6546","-35 dBm","","WebSocket Continuation[FRAGMENT]  "
"5040","4.857154","10.1.0.11","10.1.0.6","WebSocket","6546","-35 dBm","","WebSocket Continuation[FRAGMENT]  "
"5041","4.857154","10.1.0.11","10.1.0.6","WebSocket","1152","-35 dBm","","WebSocket Continuation[FRAGMENT]  "
"5061","4.858466","10.1.0.6","10.1.0.11","WebSocket","2224","","","WebSocket Continuation[FRAGMENT]  "
"5063","4.864700","10.1.0.11","10.1.0.6","WebSocket","2242","-35 dBm","","WebSocket Continuation[FRAGMENT]  "
"5084","4.866112","10.1.0.6","10.1.0.11","WebSocket","6528","","","WebSocket Continuation[FRAGMENT]  "
"5086","4.871313","10.1.0.11","10.1.0.6","TCP","394","-35 dBm","","talon-disc(7011)  >  49153 [ACK] Seq=1 Ack=7001 Win=131072 Len=0 TSval=4883 TSecr=4871"
"5106","4.872622","10.1.0.6","10.1.0.11","TCP","604","","","ups-onlinet(7010)  >  49158 [ACK] Seq=1 Ack=15001 Win=131072 Len=0 TSval=4877 TSecr=4866"
"5128","4.882485","10.1.0.6","10.1.0.11","WebSocket","6528","","","WebSocket Continuation[FRAGMENT]  "
"5130","4.887695","10.1.0.11","10.1.0.6","TCP","318","-35 dBm","","talon-disc(7011)  >  49153 [ACK] Seq=1 Ack=13001 Win=131072 Len=0 TSval=4899 TSecr=4876"
"5148","4.889003","10.1.0.6","10.1.0.11","WebSocket","5876","","","WebSocket Continuation[FRAGMENT]  "
"5150","4.897571","10.1.0.11","10.1.0.6","WebSocket","6394","-35 dBm","","WebSocket Continuation[FRAGMENT]  "
"5151","4.897571","10.1.0.11","10.1.0.6","WebSocket","6394","-35 dBm","","WebSocket Continuation[FRAGMENT]  "
"5152","4.897571","10.1.0.11","10.1.0.6","WebSocket","1652","-35 dBm","","WebSocket Continuation[FRAGMENT]  "
"5172","4.908519","10.1.0.11","10.1.0.6","WebSocket","6394","-35 dBm","","WebSocket Continuation[FRAGMENT]  "
"5173","4.908519","10.1.0.11","10.1.0.6","WebSocket","6970","-35 dBm","","WebSocket Continuation[FRAGMENT]  "
"5174","4.908519","10.1.0.11","10.1.0.6","WebSocket","1152","-35 dBm","","WebSocket Continuation[FRAGMENT]  "
"5195","4.909963","10.1.0.6","10.1.0.11","WebSocket","7104","","","WebSocket Continuation[FRAGMENT]  "
"5197","4.919477","10.1.0.11","10.1.0.6","WebSocket","2242","-35 dBm","","WebSocket Continuation[FRAGMENT]  "
"5219","4.921212","10.1.0.6","10.1.0.11","WebSocket","6952","","","WebSocket Continuation[FRAGMENT]  "
"5232","4.931878","10.1.0.6","10.1.0.11","WebSocket","6376","","","WebSocket Continuation[FRAGMENT]  "
"5241","4.938927","10.1.0.6","10.1.0.11","WebSocket","1634","","","WebSocket Continuation[FRAGMENT]  "
"5250","4.946141","10.1.0.6","10.1.0.11","TCP","908","","","ups-onlinet(7010)  >  49158 [ACK] Seq=1 Ack=45001 Win=131072 Len=0 TSval=4931 TSecr=4890"
"5252","4.948197","10.1.0.11","10.1.0.6","TCP","926","-35 dBm","","talon-disc(7011)  >  49153 [ACK] Seq=1 Ack=40001 Win=131072 Len=0 TSval=4954 TSecr=4900"
"5272","4.949505","10.1.0.6","10.1.0.11","WebSocket","4800","","","WebSocket Continuation[FRAGMENT]  "
"5274","4.957904","10.1.0.11","10.1.0.6","WebSocket","6394","-35 dBm","","WebSocket Continuation[FRAGMENT]  "
"5275","4.957904","10.1.0.11","10.1.0.6","WebSocket","6394","-35 dBm","","WebSocket Continuation[FRAGMENT]  "
"5276","4.957904","10.1.0.11","10.1.0.6","WebSocket","1652","-35 dBm","","WebSocket Continuation[FRAGMENT]  "
"5296","4.959289","10.1.0.6","10.1.0.11","WebSocket","6376","","","WebSocket Continuation[FRAGMENT]  "
"5298","4.968856","10.1.0.11","10.1.0.6","WebSocket","6394","-35 dBm","","WebSocket Continuation[FRAGMENT]  "
"5299","4.968856","10.1.0.11","10.1.0.6","WebSocket","6394","-35 dBm","","WebSocket Continuation[FRAGMENT]  "
"5300","4.968856","10.1.0.11","10.1.0.6","WebSocket","1652","-35 dBm","","WebSocket Continuation[FRAGMENT]  "
"5318","4.970089","10.1.0.6","10.1.0.11","TCP","756","","","ups-onlinet(7010)  >  49158 [ACK] Seq=1 Ack=72001 Win=131072 Len=0 TSval=4981 TSecr=4960"
"5322","4.979814","10.1.0.11","10.1.0.6","WebSocket","6394","-35 dBm","","WebSocket Continuation[FRAGMENT]  "
"5323","4.979814","10.1.0.11","10.1.0.6","WebSocket","6394","-35 dBm","","WebSocket Continuation[FRAGMENT]  "
"5340","4.980991","10.1.0.6","10.1.0.11","TCP","376","","","ups-onlinet(7010)  >  49158 [ACK] Seq=1 Ack=84001 Win=131072 Len=0 TSval=4991 TSecr=4960"
"5346","4.990502","10.1.0.11","10.1.0.6","WebSocket","6394","-35 dBm","","WebSocket Continuation[FRAGMENT]  "
"5347","4.990502","10.1.0.11","10.1.0.6","WebSocket","6394","-35 dBm","","WebSocket Continuation[FRAGMENT]  "
"5367","4.991877","10.1.0.6","10.1.0.11","TCP","376","","","ups-onlinet(7010)  >  49158 [ACK] Seq=1 Ack=96001 Win=131072 Len=0 TSval=5002 TSecr=4960"
"5369","5.001556","10.1.0.11","10.1.0.6","WebSocket","6394","-35 dBm","","WebSocket Continuation[FRAGMENT]  "
"5370","5.001556","10.1.0.11","10.1.0.6","WebSocket","6394","-35 dBm","","WebSocket Continuation[FRAGMENT]  "
"5371","5.001556","10.1.0.11","10.1.0.6","WebSocket","1652","-35 dBm","","WebSocket Continuation[FRAGMENT]  "
"5391","5.002922","10.1.0.6","10.1.0.11","WebSocket","6376","","","WebSocket Continuation[FRAGMENT]  "
"5393","5.012612","10.1.0.11","10.1.0.6","WebSocket","6394","-35 dBm","","WebSocket Continuation[FRAGMENT]  "
"5394","5.012612","10.1.0.11","10.1.0.6","WebSocket","6394","-35 dBm","","WebSocket Continuation[FRAGMENT]  "
"5395","5.012612","10.1.0.11","10.1.0.6","WebSocket","1652","-35 dBm","","WebSocket Continuation[FRAGMENT]  "
"5411","5.013704","10.1.0.6","10.1.0.11","TCP","756","","","ups-onlinet(7010)  >  49158 [ACK] Seq=1 Ack=123001 Win=131072 Len=0 TSval=5025 TSecr=4987"
"5418","5.023808","10.1.0.11","10.1.0.6","WebSocket","6394","-35 dBm","","WebSocket Continuation[FRAGMENT]  "
"5419","5.023808","10.1.0.11","10.1.0.6","WebSocket","6394","-35 dBm","","WebSocket Continuation[FRAGMENT]  "
"5439","5.025165","10.1.0.6","10.1.0.11","WebSocket","6376","","","WebSocket Continuation[FRAGMENT]  "
"5441","5.034647","10.1.0.11","10.1.0.6","WebSocket","6394","-35 dBm","","WebSocket Continuation[FRAGMENT]  "
"5442","5.034647","10.1.0.11","10.1.0.6","WebSocket","6394","-35 dBm","","WebSocket Continuation[FRAGMENT]  "
"5443","5.034647","10.1.0.11","10.1.0.6","WebSocket","1652","-35 dBm","","WebSocket Continuation[FRAGMENT]  "
"5463","5.036031","10.1.0.6","10.1.0.11","WebSocket","6376","","","WebSocket Continuation[FRAGMENT]  "
"5465","5.041358","10.1.0.11","10.1.0.6","TCP","774","-35 dBm","","talon-disc(7011)  >  49153 [ACK] Seq=1 Ack=67001 Win=131072 Len=0 TSval=5053 TSecr=4960"
"5485","5.042666","10.1.0.6","10.1.0.11","TCP","680","","","ups-onlinet(7010)  >  49158 [ACK] Seq=1 Ack=147001 Win=131072 Len=0 TSval=5046 TSecr=4998"
"5487","5.051042","10.1.0.11","10.1.0.6","WebSocket","6394","-35 dBm","","WebSocket Continuation[FRAGMENT]  "
"5488","5.051042","10.1.0.11","10.1.0.6","WebSocket","6394","-35 dBm","","WebSocket Continuation[FRAGMENT]  "
"5489","5.051042","10.1.0.11","10.1.0.6","WebSocket","1652","-35 dBm","","WebSocket Continuation[FRAGMENT]  "
"5507","5.052418","10.1.0.6","10.1.0.11","WebSocket","6376","","","WebSocket Continuation[FRAGMENT]  "
"5509","5.061994","10.1.0.11","10.1.0.6","WebSocket","6394","-35 dBm","","WebSocket Continuation[FRAGMENT]  "
"5510","5.061994","10.1.0.11","10.1.0.6","WebSocket","6394","-35 dBm","","WebSocket Continuation[FRAGMENT]  "
"5511","5.061994","10.1.0.11","10.1.0.6","WebSocket","1652","-35 dBm","","WebSocket Continuation[FRAGMENT]  "
