"No.","Time","Source","Destination","Protocol","Length","Signal strength (dBm)","Data rate","Info"
"20391","4.288186","10.1.0.11","10.1.0.9","TCP","156","","","49161  >  spg(7016) [SYN] Seq=0 Win=65535 Len=0 TSval=4300 TSecr=0 WS=4 SACK_PERM"
"20736","4.293254","10.1.0.9","10.1.0.11","TCP","138","-38 dBm","","spg(7016)  >  49161 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 TSval=4300 TSecr=4300 WS=4 SACK_PERM"
"20741","4.293550","10.1.0.11","10.1.0.9","TCP","152","","","49161  >  spg(7016) [ACK] Seq=1 Ack=1 Win=131072 Len=0 TSval=4305 TSecr=4300"
"21509","4.304961","10.1.0.9","10.1.0.11","TCP","138","-38 dBm","","49153  >  grasp(7017) [SYN] Seq=0 Win=65535 Len=0 TSval=4300 TSecr=0 WS=4 SACK_PERM"
"21515","4.305248","10.1.0.11","10.1.0.9","TCP","156","","","grasp(7017)  >  49153 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 TSval=4317 TSecr=4300 WS=4 SACK_PERM"
"21898","4.310586","10.1.0.9","10.1.0.11","TCP","134","-38 dBm","","49153  >  grasp(7017) [ACK] Seq=1 Ack=1 Win=131072 Len=0 TSval=4317 TSecr=4317"
"26558","4.849529","10.1.0.11","10.1.0.9","WebSocket","6546","","","WebSocket Continuation[FRAGMENT]  "
"26559","4.849529","10.1.0.11","10.1.0.9","WebSocket","1152","","","WebSocket Continuation[FRAGMENT]  "
"26602","4.854873","10.1.0.9","10.1.0.11","TCP","376","-41 dBm","","spg(7016)  >  49161 [ACK] Seq=1 Ack=7001 Win=131072 Len=0 TSval=4864 TSecr=4860"
"26615","4.854986","10.1.0.11","10.1.0.9","WebSocket","6546","","","WebSocket Continuation[FRAGMENT]  "
"26616","4.854986","10.1.0.11","10.1.0.9","WebSocket","1152","","","WebSocket Continuation[FRAGMENT]  "
"26662","4.860330","10.1.0.9","10.1.0.11","WebSocket","2224","-41 dBm","","WebSocket Continuation[FRAGMENT]  "
"26672","4.860452","10.1.0.11","10.1.0.9","WebSocket","6546","","","WebSocket Continuation[FRAGMENT]  "
"26673","4.860452","10.1.0.11","10.1.0.9","WebSocket","1152","","","WebSocket Continuation[FRAGMENT]  "
"26721","4.871272","10.1.0.9","10.1.0.11","WebSocket","6528","-41 dBm","","WebSocket Continuation[FRAGMENT]  "
"26771","4.876726","10.1.0.9","10.1.0.11","TCP","604","-41 dBm","","spg(7016)  >  49161 [ACK] Seq=1 Ack=21001 Win=131072 Len=0 TSval=4875 TSecr=4871"
"26789","4.876821","10.1.0.11","10.1.0.9","WebSocket","6546","","","WebSocket Continuation[FRAGMENT]  "
"26790","4.876821","10.1.0.11","10.1.0.9","WebSocket","7470","","","WebSocket Continuation[FRAGMENT]  "
"26833","4.887645","10.1.0.9","10.1.0.11","WebSocket","6528","-41 dBm","","WebSocket Continuation[FRAGMENT]  "
"26847","4.887767","10.1.0.11","10.1.0.9","TCP","622","","","grasp(7017)  >  49153 [ACK] Seq=1 Ack=13001 Win=131072 Len=0 TSval=4899 TSecr=4877"
"26884","4.893107","10.1.0.9","10.1.0.11","TCP","452","-41 dBm","","spg(7016)  >  49161 [ACK] Seq=1 Ack=32501 Win=131072 Len=0 TSval=4893 TSecr=4888"
"26908","4.893211","10.1.0.11","10.1.0.9","WebSocket","7470","","","WebSocket Continuation[FRAGMENT]  "
"26909","4.893211","10.1.0.11","10.1.0.9","WebSocket","6546","","","WebSocket Continuation[FRAGMENT]  "
"26947","4.904064","10.1.0.9","10.1.0.11","WebSocket","5876","-41 dBm","","WebSocket Continuation[FRAGMENT]  "
"27013","4.914995","10.1.0.9","10.1.0.11","WebSocket","6376","-41 dBm","","WebSocket Continuation[FRAGMENT]  "
"27023","4.915117","10.1.0.11","10.1.0.9","WebSocket","6546","","","WebSocket Continuation[FRAGMENT]  "
"27024","4.915117","10.1.0.11","10.1.0.9","WebSocket","7546","","","WebSocket Continuation[FRAGMENT]  "
"27073","4.926244","10.1.0.9","10.1.0.11","WebSocket","6376","-41 dBm","","WebSocket Continuation[FRAGMENT]  "
"27086","4.926348","10.1.0.11","10.1.0.9","WebSocket","6546","","","WebSocket Continuation[FRAGMENT]  "
"27087","4.926348","10.1.0.11","10.1.0.9","WebSocket","6546","","","WebSocket Continuation[FRAGMENT]  "
"27088","4.926348","10.1.0.11","10.1.0.9","WebSocket","6546","","","WebSocket Continuation[FRAGMENT]  "
"27089","4.926348","10.1.0.11","10.1.0.9","WebSocket","1152","","","WebSocket Continuation[FRAGMENT]  "
"27159","4.942615","10.1.0.9","10.1.0.11","WebSocket","4800","-41 dBm","","WebSocket Continuation[FRAGMENT]  "
"27205","4.948053","10.1.0.9","10.1.0.11","WebSocket","1634","-41 dBm","","WebSocket Continuation[FRAGMENT]  "
"27256","4.953497","10.1.0.9","10.1.0.11","TCP","1668","-41 dBm","","spg(7016)  >  49161 [ACK] Seq=1 Ack=78001 Win=131072 Len=0 TSval=4941 TSecr=4917"
"27282","4.953592","10.1.0.11","10.1.0.9","WebSocket","6394","","","WebSocket Continuation[FRAGMENT]  "
"27283","4.953592","10.1.0.11","10.1.0.9","WebSocket","6394","","","WebSocket Continuation[FRAGMENT]  "
"27284","4.953592","10.1.0.11","10.1.0.9","WebSocket","1652","","","WebSocket Continuation[FRAGMENT]  "
"27322","4.964449","10.1.0.9","10.1.0.11","WebSocket","2724","-41 dBm","","WebSocket Continuation[FRAGMENT]  "
"27348","4.964544","10.1.0.11","10.1.0.9","WebSocket","6394","","","WebSocket Continuation[FRAGMENT]  "
"27349","4.964544","10.1.0.11","10.1.0.9","WebSocket","6394","","","WebSocket Continuation[FRAGMENT]  "
"27350","4.964544","10.1.0.11","10.1.0.9","WebSocket","1652","","","WebSocket Continuation[FRAGMENT]  "
"27386","4.975361","10.1.0.9","10.1.0.11","TCP","756","-41 dBm","","spg(7016)  >  49161 [ACK] Seq=1 Ack=104501 Win=131072 Len=0 TSval=4980 TSecr=4965"
"27464","4.986606","10.1.0.11","10.1.0.9","WebSocket","6394","","","WebSocket Continuation[FRAGMENT]  "
"27465","4.986606","10.1.0.11","10.1.0.9","WebSocket","6394","","","WebSocket Continuation[FRAGMENT]  "
"27507","4.997149","10.1.0.9","10.1.0.11","TCP","376","-41 dBm","","spg(7016)  >  49161 [ACK] Seq=1 Ack=116501 Win=131072 Len=0 TSval=5002 TSecr=4965"
"27532","4.997244","10.1.0.11","10.1.0.9","WebSocket","6394","","","WebSocket Continuation[FRAGMENT]  "
"27533","4.997244","10.1.0.11","10.1.0.9","WebSocket","6394","","","WebSocket Continuation[FRAGMENT]  "
"27534","4.997244","10.1.0.11","10.1.0.9","WebSocket","1652","","","WebSocket Continuation[FRAGMENT]  "
"27572","5.008082","10.1.0.9","10.1.0.11","TCP","452","-41 dBm","","spg(7016)  >  49161 [ACK] Seq=1 Ack=131501 Win=131072 Len=0 TSval=5014 TSecr=4987"
"27654","5.019656","10.1.0.11","10.1.0.9","WebSocket","6394","","","WebSocket Continuation[FRAGMENT]  "
"27655","5.019656","10.1.0.11","10.1.0.9","WebSocket","6394","","","WebSocket Continuation[FRAGMENT]  "
"27699","5.030197","10.1.0.9","10.1.0.11","TCP","376","-41 dBm","","spg(7016)  >  49161 [ACK] Seq=1 Ack=143501 Win=131072 Len=0 TSval=5035 TSecr=4987"
"27719","5.030319","10.1.0.11","10.1.0.9","WebSocket","6394","","","WebSocket Continuation[FRAGMENT]  "
"27720","5.030319","10.1.0.11","10.1.0.9","WebSocket","6394","","","WebSocket Continuation[FRAGMENT]  "
"27721","5.030319","10.1.0.11","10.1.0.9","WebSocket","1652","","","WebSocket Continuation[FRAGMENT]  "
"27762","5.041191","10.1.0.9","10.1.0.11","TCP","376","-41 dBm","","spg(7016)  >  49161 [ACK] Seq=1 Ack=155501 Win=131072 Len=0 TSval=5046 TSecr=4987"
"27775","5.041286","10.1.0.11","10.1.0.9","TCP","774","","","grasp(7017)  >  49153 [ACK] Seq=1 Ack=39001 Win=131072 Len=0 TSval=4976 TSecr=4900"
"27812","5.046626","10.1.0.9","10.1.0.11","WebSocket","4800","-41 dBm","","WebSocket Continuation[FRAGMENT]  "
"27841","5.046730","10.1.0.11","10.1.0.9","WebSocket","6394","","","WebSocket Continuation[FRAGMENT]  "
"27842","5.046730","10.1.0.11","10.1.0.9","WebSocket","6394","","","WebSocket Continuation[FRAGMENT]  "
"27843","5.046730","10.1.0.11","10.1.0.9","WebSocket","1652","","","WebSocket Continuation[FRAGMENT]  "
"27879","5.057578","10.1.0.9","10.1.0.11","WebSocket","6376","-41 dBm","","WebSocket Continuation[FRAGMENT]  "
"27946","5.068502","10.1.0.9","10.1.0.11","WebSocket","6376","-41 dBm","","WebSocket Continuation[FRAGMENT]  "
"27957","5.068651","10.1.0.11","10.1.0.9","WebSocket","6394","","","WebSocket Continuation[FRAGMENT]  "
"27958","5.068651","10.1.0.11","10.1.0.9","WebSocket","6394","","","WebSocket Continuation[FRAGMENT]  "
"27959","5.068651","10.1.0.11","10.1.0.9","WebSocket","1652","","","WebSocket Continuation[FRAGMENT]  "
"28009","5.079480","10.1.0.9","10.1.0.11","WebSocket","6376","-41 dBm","","WebSocket Continuation[FRAGMENT]  "
"28027","5.079620","10.1.0.11","10.1.0.9","WebSocket","6394","","","WebSocket Continuation[FRAGMENT]  "
"28028","5.079620","10.1.0.11","10.1.0.9","WebSocket","6394","","","WebSocket Continuation[FRAGMENT]  "
"28029","5.079620","10.1.0.11","10.1.0.9","WebSocket","1652","","","WebSocket Continuation[FRAGMENT]  "
"28075","5.090485","10.1.0.9","10.1.0.11","WebSocket","6376","-41 dBm","","WebSocket Continuation[FRAGMENT]  "
"28091","5.090580","10.1.0.11","10.1.0.9","WebSocket","6394","","","WebSocket Continuation[FRAGMENT]  "
"28092","5.090580","10.1.0.11","10.1.0.9","WebSocket","4818","","","WebSocket Continuation[FRAGMENT]  "
"28133","5.101379","10.1.0.9","10.1.0.11","TCP","1364","-41 dBm","","spg(7016)  >  49161 [ACK] Seq=1 Ack=206501 Win=131072 Len=0 TSval=5106 TSecr=5053"
"28153","5.101634","10.1.0.11","10.1.0.9","WebSocket","6394","","","WebSocket Continuation[FRAGMENT]  "
"28154","5.101634","10.1.0.11","10.1.0.9","WebSocket","6394","","","WebSocket Continuation[FRAGMENT]  "
"28194","5.112325","10.1.0.9","10.1.0.11","WebSocket","6376","-41 dBm","","WebSocket Continuation[FRAGMENT]  "
"28220","5.112438","10.1.0.11","10.1.0.9","WebSocket","6394","","","WebSocket Continuation[FRAGMENT]  "
"28221","5.112438","10.1.0.11","10.1.0.9","WebSocket","6394","","","WebSocket Continuation[FRAGMENT]  "
"28222","5.112438","10.1.0.11","10.1.0.9","WebSocket","1652","","","WebSocket Continuation[FRAGMENT]  "
"28261","5.123267","10.1.0.9","10.1.0.11","WebSocket","6376","-41 dBm","","WebSocket Continuation[FRAGMENT]  "
"28290","5.123699","10.1.0.11","10.1.0.9","WebSocket","6394","","","WebSocket Continuation[FRAGMENT]  "
"28291","5.123699","10.1.0.11","10.1.0.9","WebSocket","6394","","","WebSocket Continuation[FRAGMENT]  "
"28292","5.123699","10.1.0.11","10.1.0.9","WebSocket","1652","","","WebSocket Continuation[FRAGMENT]  "
"28328","5.134555","10.1.0.9","10.1.0.11","WebSocket","6376","-41 dBm","","WebSocket Continuation[FRAGMENT]  "
"28392","5.145524","10.1.0.9","10.1.0.11","WebSocket","6376","-41 dBm","","WebSocket Continuation[FRAGMENT]  "
"28404","5.145619","10.1.0.11","10.1.0.9","WebSocket","6394","","","WebSocket Continuation[FRAGMENT]  "
"28405","5.145619","10.1.0.11","10.1.0.9","WebSocket","6394","","","WebSocket Continuation[FRAGMENT]  "
"28406","5.145619","10.1.0.11","10.1.0.9","WebSocket","1652","","","WebSocket Continuation[FRAGMENT]  "
"28458","5.156422","10.1.0.9","10.1.0.11","TCP","1440","-41 dBm","","spg(7016)  >  49161 [ACK] Seq=1 Ack=260501 Win=131072 Len=0 TSval=5162 TSecr=5113"
"28478","5.156516","10.1.0.11","10.1.0.9","WebSocket","6394","","","WebSocket Continuation[FRAGMENT]  "
"28479","5.156516","10.1.0.11","10.1.0.9","WebSocket","6394","","","WebSocket Continuation[FRAGMENT]  "
"28480","5.156516","10.1.0.11","10.1.0.9","WebSocket","6394","","","WebSocket Continuation[FRAGMENT]  "
"28481","5.156516","10.1.0.11","10.1.0.9","WebSocket","6394","","","WebSocket Continuation[FRAGMENT]  "
"28482","5.156516","10.1.0.11","10.1.0.9","WebSocket","6394","","","WebSocket Continuation[FRAGMENT]  "
"28483","5.156516","10.1.0.11","10.1.0.9","WebSocket","1652","","","WebSocket Continuation[FRAGMENT]  "
"28518","5.166678","10.1.0.9","10.1.0.11","TCP","832","-41 dBm","","spg(7016)  >  49161 [ACK] Seq=1 Ack=290501 Win=131072 Len=0 TSval=5173 TSecr=5168"
"28544","5.166850","10.1.0.11","10.1.0.9","WebSocket","6394","","","WebSocket Continuation[FRAGMENT]  "
"28545","5.166850","10.1.0.11","10.1.0.9","WebSocket","6394","","","WebSocket Continuation[FRAGMENT]  "
"28546","5.166850","10.1.0.11","10.1.0.9","WebSocket","1652","","","WebSocket Continuation[FRAGMENT]  "
"28584","5.176998","10.1.0.9","10.1.0.11","TCP","452","-41 dBm","","spg(7016)  >  49161 [ACK] Seq=1 Ack=305501 Win=131072 Len=0 TSval=5183 TSecr=5168"
"28609","5.177188","10.1.0.11","10.1.0.9","WebSocket","6394","","","WebSocket Continuation[FRAGMENT]  "
"28610","5.177188","10.1.0.11","10.1.0.9","WebSocket","6394","","","WebSocket Continuation[FRAGMENT]  "
"28611","5.177188","10.1.0.11","10.1.0.9","WebSocket","1652","","","WebSocket Continuation[FRAGMENT]  "
"28650","5.184545","10.1.0.9","10.1.0.11","TCP","376","-41 dBm","","spg(7016)  >  49161 [ACK] Seq=1 Ack=317501 Win=131072 Len=0 TSval=5193 TSecr=5168"
"28666","5.184613","10.1.0.11","10.1.0.9","WebSocket","3242","","","WebSocket Continuation[FRAGMENT]  "
"28761","5.194857","10.1.0.9","10.1.0.11","TCP","134","-41 dBm","","spg(7016)  >  49161 [ACK] Seq=1 Ack=320501 Win=131072 Len=0 TSval=5198 TSecr=5178"
"28776","5.194925","10.1.0.11","10.1.0.9","WebSocket","4818","","","WebSocket Continuation[FRAGMENT]  "
"28815","5.199921","10.1.0.9","10.1.0.11","TCP","224","-41 dBm","","spg(7016)  >  49161 [ACK] Seq=1 Ack=326501 Win=131072 Len=0 TSval=5210 TSecr=5178"
"28830","5.199989","10.1.0.11","10.1.0.9","TCP","1458","","","grasp(7017)  >  49153 [ACK] Seq=1 Ack=92501 Win=131072 Len=0 TSval=5157 TSecr=5053"
"28870","5.204505","10.1.0.9","10.1.0.11","WebSocket","3224","-41 dBm","","WebSocket Continuation[FRAGMENT]  "
"28900","5.204591","10.1.0.11","10.1.0.9","WebSocket","6394","","","WebSocket Continuation[FRAGMENT]  "
"28901","5.204591","10.1.0.11","10.1.0.9","WebSocket","6394","","","WebSocket Continuation[FRAGMENT]  "
"28902","5.204591","10.1.0.11","10.1.0.9","WebSocket","1652","","","WebSocket Continuation[FRAGMENT]  "
"28938","5.215420","10.1.0.9","10.1.0.11","WebSocket","6376","-41 dBm","","WebSocket Continuation[FRAGMENT]  "
"29002","5.226350","10.1.0.9","10.1.0.11","TCP","376","-41 dBm","","spg(7016)  >  49161 [ACK] Seq=1 Ack=338501 Win=131072 Len=0 TSval=5220 TSecr=5178"
"29023","5.226897","10.1.0.11","10.1.0.9","WebSocket","6394","","","WebSocket Continuation[FRAGMENT]  "
"29024","5.226897","10.1.0.11","10.1.0.9","WebSocket","6394","","","WebSocket Continuation[FRAGMENT]  "
"29065","5.237598","10.1.0.9","10.1.0.11","WebSocket","6376","-41 dBm","","WebSocket Continuation[FRAGMENT]  "
"29093","5.237693","10.1.0.11","10.1.0.9","WebSocket","6394","","","WebSocket Continuation[FRAGMENT]  "
"29094","5.237693","10.1.0.11","10.1.0.9","WebSocket","7546","","","WebSocket Continuation[FRAGMENT]  "
"29130","5.248513","10.1.0.9","10.1.0.11","WebSocket","6376","-41 dBm","","WebSocket Continuation[FRAGMENT]  "
"29180","5.253957","10.1.0.9","10.1.0.11","TCP","756","-41 dBm","","spg(7016)  >  49161 [ACK] Seq=1 Ack=364001 Win=131072 Len=0 TSval=5254 TSecr=5189"
"29244","5.264814","10.1.0.9","10.1.0.11","WebSocket","6376","-41 dBm","","WebSocket Continuation[FRAGMENT]  "
"29264","5.265175","10.1.0.11","10.1.0.9","WebSocket","7470","","","WebSocket Continuation[FRAGMENT]  "
"29265","5.265175","10.1.0.11","10.1.0.9","WebSocket","5470","","","WebSocket Continuation[FRAGMENT]  "
"29307","5.275769","10.1.0.9","10.1.0.11","WebSocket","6376","-41 dBm","","WebSocket Continuation[FRAGMENT]  "
"29333","5.275873","10.1.0.11","10.1.0.9","WebSocket","6394","","","WebSocket Continuation[FRAGMENT]  "
"29334","5.275873","10.1.0.11","10.1.0.9","WebSocket","6394","","","WebSocket Continuation[FRAGMENT]  "
"29335","5.275873","10.1.0.11","10.1.0.9","WebSocket","1652","","","WebSocket Continuation[FRAGMENT]  "
"29387","5.286821","10.1.0.11","10.1.0.9","TCP","926","","","grasp(7017)  >  49153 [ACK] Seq=1 Ack=125501 Win=131072 Len=0 TSval=5287 TSecr=5213"
"29426","5.292161","10.1.0.9","10.1.0.11","TCP","832","-41 dBm","","spg(7016)  >  49161 [ACK] Seq=1 Ack=390501 Win=131072 Len=0 TSval=5292 TSecr=5238"
"29491","5.303103","10.1.0.9","10.1.0.11","WebSocket","6376","-41 dBm","","WebSocket Continuation[FRAGMENT]  "
"29502","5.303216","10.1.0.11","10.1.0.9","WebSocket","6394","","","WebSocket Continuation[FRAGMENT]  "
"29503","5.303216","10.1.0.11","10.1.0.9","WebSocket","6394","","","WebSocket Continuation[FRAGMENT]  "
"29504","5.303216","10.1.0.11","10.1.0.9","WebSocket","1652","","","WebSocket Continuation[FRAGMENT]  "
"29556","5.314044","10.1.0.9","10.1.0.11","WebSocket","6376","-41 dBm","","WebSocket Continuation[FRAGMENT]  "
"29574","5.314148","10.1.0.11","10.1.0.9","WebSocket","6394","","","WebSocket Continuation[FRAGMENT]  "
"29575","5.314148","10.1.0.11","10.1.0.9","WebSocket","6394","","","WebSocket Continuation[FRAGMENT]  "
"29576","5.314148","10.1.0.11","10.1.0.9","WebSocket","1652","","","WebSocket Continuation[FRAGMENT]  "
"29621","5.324982","10.1.0.9","10.1.0.11","TCP","756","-41 dBm","","spg(7016)  >  49161 [ACK] Seq=1 Ack=417501 Win=131072 Len=0 TSval=5330 TSecr=5266"
"29644","5.325653","10.1.0.11","10.1.0.9","WebSocket","6394","","","WebSocket Continuation[FRAGMENT]  "
"29645","5.325653","10.1.0.11","10.1.0.9","WebSocket","6394","","","WebSocket Continuation[FRAGMENT]  "
"29685","5.336178","10.1.0.9","10.1.0.11","WebSocket","6376","-41 dBm","","WebSocket Continuation[FRAGMENT]  "
"29713","5.336309","10.1.0.11","10.1.0.9","WebSocket","6394","","","WebSocket Continuation[FRAGMENT]  "
"29714","5.336309","10.1.0.11","10.1.0.9","WebSocket","6394","","","WebSocket Continuation[FRAGMENT]  "
"29715","5.336309","10.1.0.11","10.1.0.9","WebSocket","1652","","","WebSocket Continuation[FRAGMENT]  "
"29751","5.347147","10.1.0.9","10.1.0.11","WebSocket","6376","-41 dBm","","WebSocket Continuation[FRAGMENT]  "
"29818","5.358116","10.1.0.9","10.1.0.11","WebSocket","6376","-41 dBm","","WebSocket Continuation[FRAGMENT]  "
"29832","5.358247","10.1.0.11","10.1.0.9","WebSocket","6394","","","WebSocket Continuation[FRAGMENT]  "
"29833","5.358247","10.1.0.11","10.1.0.9","WebSocket","6394","","","WebSocket Continuation[FRAGMENT]  "
"29834","5.358247","10.1.0.11","10.1.0.9","WebSocket","1652","","","WebSocket Continuation[FRAGMENT]  "
"29883","5.369047","10.1.0.9","10.1.0.11","TCP","1060","-41 dBm","","spg(7016)  >  49161 [ACK] Seq=1 Ack=456501 Win=131072 Len=0 TSval=5375 TSecr=5337"
"29902","5.369266","10.1.0.11","10.1.0.9","WebSocket","6394","","","WebSocket Continuation[FRAGMENT]  "
"29903","5.369266","10.1.0.11","10.1.0.9","WebSocket","6394","","","WebSocket Continuation[FRAGMENT]  "
"29945","5.379962","10.1.0.9","10.1.0.11","WebSocket","6376","-41 dBm","","WebSocket Continuation[FRAGMENT]  "
"29959","5.380075","10.1.0.11","10.1.0.9","TCP","1002","","","grasp(7017)  >  49153 [ACK] Seq=1 Ack=161501 Win=131072 Len=0 TSval=5392 TSecr=5299"
"30023","5.385519","10.1.0.11","10.1.0.9","WebSocket","6394","","","WebSocket Continuation[FRAGMENT]  "
"30024","5.385519","10.1.0.11","10.1.0.9","WebSocket","6394","","","WebSocket Continuation[FRAGMENT]  "
"30025","5.385519","10.1.0.11","10.1.0.9","WebSocket","1652","","","WebSocket Continuation[FRAGMENT]  "
"30065","5.396309","10.1.0.9","10.1.0.11","WebSocket","6376","-41 dBm","","WebSocket Continuation[FRAGMENT]  "
"30131","5.407261","10.1.0.9","10.1.0.11","WebSocket","6376","-41 dBm","","WebSocket Continuation[FRAGMENT]  "
"30143","5.407356","10.1.0.11","10.1.0.9","WebSocket","6394","","","WebSocket Continuation[FRAGMENT]  "
"30144","5.407356","10.1.0.11","10.1.0.9","WebSocket","6394","","","WebSocket Continuation[FRAGMENT]  "
"30145","5.407356","10.1.0.11","10.1.0.9","WebSocket","1652","","","WebSocket Continuation[FRAGMENT]  "
"30199","5.418167","10.1.0.9","10.1.0.11","WebSocket","6376","-41 dBm","","WebSocket Continuation[FRAGMENT]  "
"30216","5.418271","10.1.0.11","10.1.0.9","WebSocket","6394","","","WebSocket Continuation[FRAGMENT]  "
"30217","5.418271","10.1.0.11","10.1.0.9","WebSocket","6394","","","WebSocket Continuation[FRAGMENT]  "
"30218","5.418271","10.1.0.11","10.1.0.9","WebSocket","1652","","","WebSocket Continuation[FRAGMENT]  "
"30266","5.429100","10.1.0.9","10.1.0.11","WebSocket","6376","-41 dBm","","WebSocket Continuation[FRAGMENT]  "
"30290","5.429568","10.1.0.11","10.1.0.9","WebSocket","6394","","","WebSocket Continuation[FRAGMENT]  "
"30291","5.429568","10.1.0.11","10.1.0.9","WebSocket","6394","","","WebSocket Continuation[FRAGMENT]  "
"30292","5.429568","10.1.0.11","10.1.0.9","WebSocket","1652","","","WebSocket Continuation[FRAGMENT]  "
"30334","5.440440","10.1.0.9","10.1.0.11","WebSocket","6376","-41 dBm","","WebSocket Continuation[FRAGMENT]  "
"30355","5.440589","10.1.0.11","10.1.0.9","WebSocket","1652","","","WebSocket Continuation[FRAGMENT]  "
"30394","5.451400","10.1.0.9","10.1.0.11","WebSocket","6376","-41 dBm","","WebSocket Continuation[FRAGMENT]  "
"30500","5.473343","10.1.0.9","10.1.0.11","WebSocket","6376","-41 dBm","","WebSocket Continuation[FRAGMENT]  "
"30549","5.478826","10.1.0.9","10.1.0.11","TCP","832","-41 dBm","","spg(7016)  >  49161 [ACK] Seq=1 Ack=486501 Win=131072 Len=0 TSval=5421 TSecr=5381"
"30563","5.478948","10.1.0.11","10.1.0.9","WebSocket","6394","","","WebSocket Continuation[FRAGMENT]  "
"30564","5.478948","10.1.0.11","10.1.0.9","WebSocket","6394","","","WebSocket Continuation[FRAGMENT]  "
"30565","5.478948","10.1.0.11","10.1.0.9","WebSocket","1652","","","WebSocket Continuation[FRAGMENT]  "
"30611","5.489756","10.1.0.9","10.1.0.11","TCP","1364","-41 dBm","","spg(7016)  >  49161 [ACK] Seq=1 Ack=537501 Win=131072 Len=0 TSval=5495 TSecr=5491"
"30626","5.489984","10.1.0.11","10.1.0.9","WebSocket","6394","","","WebSocket Continuation[FRAGMENT]  "
"30627","5.489984","10.1.0.11","10.1.0.9","WebSocket","6394","","","WebSocket Continuation[FRAGMENT]  "
"30674","5.495328","10.1.0.11","10.1.0.9","WebSocket","6394","","","WebSocket Continuation[FRAGMENT]  "
"30675","5.495328","10.1.0.11","10.1.0.9","WebSocket","6394","","","WebSocket Continuation[FRAGMENT]  "
"30676","5.495328","10.1.0.11","10.1.0.9","WebSocket","1652","","","WebSocket Continuation[FRAGMENT]  "
