"No.","Time","Source","Destination","Protocol","Length","Signal strength (dBm)","Data rate","Info"
"13930","3.338062","10.1.0.11","10.1.0.7","TCP","156","","","49159  >  talon-engine(7012) [SYN] Seq=0 Win=65535 Len=0 TSval=3350 TSecr=0 WS=4 SACK_PERM"
"14133","3.343342","10.1.0.7","10.1.0.11","TCP","138","-29 dBm","","talon-engine(7012)  >  49159 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 TSval=3350 TSecr=3350 WS=4 SACK_PERM"
"14144","3.343744","10.1.0.11","10.1.0.7","TCP","152","","","49159  >  talon-engine(7012) [ACK] Seq=1 Ack=1 Win=131072 Len=0 TSval=3355 TSecr=3350"
"14587","3.354781","10.1.0.7","10.1.0.11","TCP","138","-29 dBm","","49153  >  microtalon-dis(7013) [SYN] Seq=0 Win=65535 Len=0 TSval=3350 TSecr=0 WS=4 SACK_PERM"
"14593","3.355068","10.1.0.11","10.1.0.7","TCP","156","","","microtalon-dis(7013)  >  49153 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 TSval=3366 TSecr=3350 WS=4 SACK_PERM"
"14821","3.360339","10.1.0.7","10.1.0.11","TCP","134","-29 dBm","","49153  >  microtalon-dis(7013) [ACK] Seq=1 Ack=1 Win=131072 Len=0 TSval=3367 TSecr=3366"
"26523","4.846505","10.1.0.11","10.1.0.7","WebSocket","3318","","","WebSocket Continuation[FRAGMENT]  "
"26553","4.849429","10.1.0.7","10.1.0.11","TCP","224","-29 dBm","","talon-engine(7012)  >  49159 [ACK] Seq=1 Ack=3001 Win=131072 Len=0 TSval=4860 TSecr=4857"
"26565","4.849529","10.1.0.11","10.1.0.7","WebSocket","4394","","","WebSocket Continuation[FRAGMENT]  "
"26601","4.854873","10.1.0.7","10.1.0.11","TCP","224","-32 dBm","","talon-engine(7012)  >  49159 [ACK] Seq=1 Ack=7001 Win=131072 Len=0 TSval=4864 TSecr=4860"
"26625","4.854986","10.1.0.11","10.1.0.7","WebSocket","6546","","","WebSocket Continuation[FRAGMENT]  "
"26626","4.854986","10.1.0.11","10.1.0.7","WebSocket","1152","","","WebSocket Continuation[FRAGMENT]  "
"26660","4.860330","10.1.0.7","10.1.0.11","WebSocket","2224","-32 dBm","","WebSocket Continuation[FRAGMENT]  "
"26719","4.871272","10.1.0.7","10.1.0.11","WebSocket","6528","-32 dBm","","WebSocket Continuation[FRAGMENT]  "
"26735","4.871385","10.1.0.11","10.1.0.7","TCP","394","","","microtalon-dis(7013)  >  49153 [ACK] Seq=1 Ack=7001 Win=131072 Len=0 TSval=4883 TSecr=4872"
"26786","4.876821","10.1.0.11","10.1.0.7","WebSocket","6546","","","WebSocket Continuation[FRAGMENT]  "
