"No.","Time","Source","Destination","Protocol","Length","Signal strength (dBm)","Data rate","Info"
"16723","3.838193","10.1.0.11","10.1.0.8","TCP","156","","","49160  >  microtalon-com(7014) [SYN] Seq=0 Win=65535 Len=0 TSval=3850 TSecr=0 WS=4 SACK_PERM"
"16942","3.843273","10.1.0.8","10.1.0.11","TCP","138","-43 dBm","","microtalon-com(7014)  >  49160 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 TSval=3850 TSecr=3850 WS=4 SACK_PERM"
"16947","3.843567","10.1.0.11","10.1.0.8","TCP","152","","","49160  >  microtalon-com(7014) [ACK] Seq=1 Ack=1 Win=131072 Len=0 TSval=3855 TSecr=3850"
"17415","3.854578","10.1.0.8","10.1.0.11","TCP","138","-43 dBm","","49153  >  talon-webserver(7015) [SYN] Seq=0 Win=65535 Len=0 TSval=3850 TSecr=0 WS=4 SACK_PERM"
"17418","3.854733","10.1.0.11","10.1.0.8","TCP","156","","","talon-webserver(7015)  >  49153 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 TSval=3866 TSecr=3850 WS=4 SACK_PERM"
"17663","3.860277","10.1.0.8","10.1.0.11","TCP","134","-43 dBm","","49153  >  talon-webserver(7015) [ACK] Seq=1 Ack=1 Win=131072 Len=0 TSval=3866 TSecr=3866"
"26524","4.846505","10.1.0.11","10.1.0.8","WebSocket","4394","","","WebSocket Continuation[FRAGMENT]  "
"26556","4.849429","10.1.0.8","10.1.0.11","TCP","224","-43 dBm","","microtalon-com(7014)  >  49160 [ACK] Seq=1 Ack=3001 Win=131072 Len=0 TSval=4860 TSecr=4857"
"26566","4.849529","10.1.0.11","10.1.0.8","WebSocket","3318","","","WebSocket Continuation[FRAGMENT]  "
"26609","4.854873","10.1.0.8","10.1.0.11","TCP","224","-46 dBm","","microtalon-com(7014)  >  49160 [ACK] Seq=1 Ack=7001 Win=131072 Len=0 TSval=4864 TSecr=4860"
"26668","4.860330","10.1.0.8","10.1.0.11","WebSocket","2224","-46 dBm","","WebSocket Continuation[FRAGMENT]  "
"26678","4.860452","10.1.0.11","10.1.0.8","WebSocket","6546","","","WebSocket Continuation[FRAGMENT]  "
"26679","4.860452","10.1.0.11","10.1.0.8","WebSocket","6546","","","WebSocket Continuation[FRAGMENT]  "
"26680","4.860452","10.1.0.11","10.1.0.8","WebSocket","1152","","","WebSocket Continuation[FRAGMENT]  "
