"No.","Time","Source","Destination","Protocol","Length","Signal strength (dBm)","Data rate","Info"
"555","0.438339","10.1.0.1","10.1.0.11","TCP","138","-43 dBm","","49153  >  afs3-callback(7001) [SYN] Seq=0 Win=65535 Len=0 TSval=450 TSecr=0 WS=4 SACK_PERM"
"557","0.438403","10.1.0.11","10.1.0.1","TCP","156","","","49153  >  afs3-fileserver(7000) [SYN] Seq=0 Win=65535 Len=0 TSval=450 TSecr=0 WS=4 SACK_PERM"
"675","0.443729","10.1.0.11","10.1.0.1","TCP","156","","","afs3-callback(7001)  >  49153 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 TSval=450 TSecr=450 WS=4 SACK_PERM"
"801","0.449257","10.1.0.1","10.1.0.11","TCP","138","-43 dBm","","afs3-fileserver(7000)  >  49153 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 TSval=450 TSecr=450 WS=4 SACK_PERM"
"805","0.449519","10.1.0.1","10.1.0.11","TCP","134","-43 dBm","","49153  >  afs3-callback(7001) [ACK] Seq=1 Ack=1 Win=131072 Len=0 TSval=455 TSecr=450"
"807","0.449583","10.1.0.11","10.1.0.1","TCP","152","","","49153  >  afs3-fileserver(7000) [ACK] Seq=1 Ack=1 Win=131072 Len=0 TSval=461 TSecr=450"
"26518","4.846441","10.1.0.1","10.1.0.11","WebSocket","2224","-43 dBm","","WebSocket Continuation[FRAGMENT]  "
"26554","4.849429","10.1.0.1","10.1.0.11","WebSocket","1134","-43 dBm","","WebSocket Continuation[FRAGMENT]  "
"26606","4.854873","10.1.0.1","10.1.0.11","WebSocket","2224","-46 dBm","","WebSocket Continuation[FRAGMENT]  "
"26611","4.854986","10.1.0.11","10.1.0.1","Gryphon","6546","","",""
"26612","4.854986","10.1.0.11","10.1.0.1","Gryphon","1152","","",""
"26666","4.860330","10.1.0.1","10.1.0.11","WebSocket","2224","-46 dBm","","WebSocket Continuation[FRAGMENT]  "
"26670","4.860452","10.1.0.11","10.1.0.1","Gryphon","6546","","",""
"26725","4.871272","10.1.0.1","10.1.0.11","WebSocket","6528","-46 dBm","","WebSocket Continuation[FRAGMENT]  "
