"No.","Time","Source","Destination","Protocol","Length","Signal strength (dBm)","Data rate","Info"
"1299","1.437767","10.1.0.11","10.1.0.3","TCP","156","-36 dBm","","49155  >  afs3-kaserver(7004) [SYN] Seq=0 Win=65535 Len=0 TSval=1450 TSecr=0 WS=4 SACK_PERM"
"1456","1.448557","10.1.0.3","10.1.0.11","TCP","138","","","49153  >  afs3-volser(7005) [SYN] Seq=0 Win=65535 Len=0 TSval=1450 TSecr=0 WS=4 SACK_PERM"
"1460","1.448868","10.1.0.3","10.1.0.11","TCP","138","","","afs3-kaserver(7004)  >  49155 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 TSval=1450 TSecr=1450 WS=4 SACK_PERM"
"1462","1.449092","10.1.0.11","10.1.0.3","TCP","156","-36 dBm","","afs3-volser(7005)  >  49153 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 TSval=1461 TSecr=1450 WS=4 SACK_PERM"
"1553","1.454297","10.1.0.3","10.1.0.11","TCP","134","","","49153  >  afs3-volser(7005) [ACK] Seq=1 Ack=1 Win=131072 Len=0 TSval=1461 TSecr=1461"
"1555","1.454489","10.1.0.11","10.1.0.3","TCP","152","-36 dBm","","49155  >  afs3-kaserver(7004) [ACK] Seq=1 Ack=1 Win=131072 Len=0 TSval=1461 TSecr=1450"
"8076","4.853009","10.1.0.3","10.1.0.11","WebSocket","2224","","","WebSocket Continuation[FRAGMENT]  "
"8078","4.857154","10.1.0.11","10.1.0.3","WebSocket","6546","-46 dBm","","WebSocket Continuation[FRAGMENT]  "
"8079","4.857154","10.1.0.11","10.1.0.3","WebSocket","1152","-46 dBm","","WebSocket Continuation[FRAGMENT]  "
"8099","4.858466","10.1.0.3","10.1.0.11","WebSocket","2224","","","WebSocket Continuation[FRAGMENT]  "
"8101","4.864700","10.1.0.11","10.1.0.3","WebSocket","6546","-46 dBm","","WebSocket Continuation[FRAGMENT]  "
"8122","4.866112","10.1.0.3","10.1.0.11","WebSocket","6528","","","WebSocket Continuation[FRAGMENT]  "
"8124","4.871313","10.1.0.11","10.1.0.3","TCP","470","-46 dBm","","afs3-volser(7005)  >  49153 [ACK] Seq=1 Ack=9001 Win=131072 Len=0 TSval=4883 TSecr=4868"
"8144","4.872622","10.1.0.3","10.1.0.11","TCP","604","","","afs3-kaserver(7004)  >  49155 [ACK] Seq=1 Ack=13001 Win=131072 Len=0 TSval=4877 TSecr=4871"
"8146","4.881069","10.1.0.11","10.1.0.3","WebSocket","6970","-46 dBm","","WebSocket Continuation[FRAGMENT]  "
"8147","4.881069","10.1.0.11","10.1.0.3","WebSocket","6394","-46 dBm","","WebSocket Continuation[FRAGMENT]  "
"8168","4.882485","10.1.0.3","10.1.0.11","WebSocket","7028","","","WebSocket Continuation[FRAGMENT]  "
"8170","4.887695","10.1.0.11","10.1.0.3","TCP","318","-46 dBm","","afs3-volser(7005)  >  49153 [ACK] Seq=1 Ack=15001 Win=131072 Len=0 TSval=4899 TSecr=4872"
"8190","4.889003","10.1.0.3","10.1.0.11","TCP","376","","","afs3-kaserver(7004)  >  49155 [ACK] Seq=1 Ack=24001 Win=131072 Len=0 TSval=4893 TSecr=4888"
"8192","4.897571","10.1.0.11","10.1.0.3","WebSocket","6394","-46 dBm","","WebSocket Continuation[FRAGMENT]  "
"8193","4.897571","10.1.0.11","10.1.0.3","WebSocket","7046","-46 dBm","","WebSocket Continuation[FRAGMENT]  "
"8194","4.897571","10.1.0.11","10.1.0.3","WebSocket","1152","-46 dBm","","WebSocket Continuation[FRAGMENT]  "
"8215","4.899032","10.1.0.3","10.1.0.11","WebSocket","6376","","","WebSocket Continuation[FRAGMENT]  "
"8217","4.908519","10.1.0.11","10.1.0.3","WebSocket","7470","-46 dBm","","WebSocket Continuation[FRAGMENT]  "
"8218","4.908519","10.1.0.11","10.1.0.3","WebSocket","6394","-46 dBm","","WebSocket Continuation[FRAGMENT]  "
