"No.","Time","Source","Destination","Protocol","Length","Signal strength (dBm)","Data rate","Info"
"951","0.937764","10.1.0.11","10.1.0.2","TCP","156","-37 dBm","","49154  >  afs3-prserver(7002) [SYN] Seq=0 Win=65535 Len=0 TSval=950 TSecr=0 WS=4 SACK_PERM"
"1012","0.942908","10.1.0.2","10.1.0.11","TCP","138","","","afs3-prserver(7002)  >  49154 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 TSval=950 TSecr=950 WS=4 SACK_PERM"
"1021","0.943592","10.1.0.2","10.1.0.11","TCP","138","","","49153  >  afs3-vlserver(7003) [SYN] Seq=0 Win=65535 Len=0 TSval=950 TSecr=0 WS=4 SACK_PERM"
"1023","0.943800","10.1.0.11","10.1.0.2","TCP","152","-37 dBm","","49154  >  afs3-prserver(7002) [ACK] Seq=1 Ack=1 Win=131072 Len=0 TSval=955 TSecr=950"
"1110","0.948836","10.1.0.11","10.1.0.2","TCP","156","-37 dBm","","afs3-vlserver(7003)  >  49153 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 TSval=956 TSecr=950 WS=4 SACK_PERM"
"1590","1.210885","10.1.0.2","10.1.0.11","TCP","134","","","49153  >  afs3-vlserver(7003) [ACK] Seq=1 Ack=1 Win=131072 Len=0 TSval=961 TSecr=956"
"8664","4.844533","10.1.0.11","10.1.0.2","WebSocket","1152","-44 dBm","","WebSocket Continuation[FRAGMENT]  "
"8676","4.845329","10.1.0.2","10.1.0.11","TCP","134","","","afs3-prserver(7002)  >  49154 [ACK] Seq=1 Ack=1001 Win=131072 Len=0 TSval=4857 TSecr=4856"
"8678","4.847633","10.1.0.11","10.1.0.2","WebSocket","3318","-44 dBm","","WebSocket Continuation[FRAGMENT]  "
"8691","4.851697","10.1.0.11","10.1.0.2","WebSocket","3318","-47 dBm","","WebSocket Continuation[FRAGMENT]  "
"8711","4.853009","10.1.0.2","10.1.0.11","WebSocket","2224","","","WebSocket Continuation[FRAGMENT]  "
"8713","4.857154","10.1.0.11","10.1.0.2","WebSocket","6546","-47 dBm","","WebSocket Continuation[FRAGMENT]  "
"8714","4.857154","10.1.0.11","10.1.0.2","WebSocket","1152","-47 dBm","","WebSocket Continuation[FRAGMENT]  "
"8734","4.858466","10.1.0.2","10.1.0.11","WebSocket","2224","","","WebSocket Continuation[FRAGMENT]  "
"8756","4.866112","10.1.0.2","10.1.0.11","WebSocket","6528","","","WebSocket Continuation[FRAGMENT]  "
"8758","4.871313","10.1.0.11","10.1.0.2","TCP","470","-47 dBm","","afs3-vlserver(7003)  >  49153 [ACK] Seq=1 Ack=9001 Win=131072 Len=0 TSval=4883 TSecr=4867"
"8778","4.872622","10.1.0.2","10.1.0.11","TCP","528","","","afs3-prserver(7002)  >  49154 [ACK] Seq=1 Ack=13001 Win=131072 Len=0 TSval=4869 TSecr=4865"
"8780","4.881069","10.1.0.11","10.1.0.2","WebSocket","6970","-47 dBm","","WebSocket Continuation[FRAGMENT]  "
"8781","4.881069","10.1.0.11","10.1.0.2","WebSocket","6394","-47 dBm","","WebSocket Continuation[FRAGMENT]  "
"8802","4.882485","10.1.0.2","10.1.0.11","WebSocket","7028","","","WebSocket Continuation[FRAGMENT]  "
"8804","4.887695","10.1.0.11","10.1.0.2","TCP","318","-47 dBm","","afs3-vlserver(7003)  >  49153 [ACK] Seq=1 Ack=15001 Win=131072 Len=0 TSval=4899 TSecr=4872"
"8824","4.889003","10.1.0.2","10.1.0.11","TCP","452","","","afs3-prserver(7002)  >  49154 [ACK] Seq=1 Ack=26501 Win=131072 Len=0 TSval=4893 TSecr=4888"
"8826","4.897571","10.1.0.11","10.1.0.2","WebSocket","6394","-47 dBm","","WebSocket Continuation[FRAGMENT]  "
"8827","4.897571","10.1.0.11","10.1.0.2","WebSocket","6394","-47 dBm","","WebSocket Continuation[FRAGMENT]  "
"8828","4.897571","10.1.0.11","10.1.0.2","WebSocket","1652","-47 dBm","","WebSocket Continuation[FRAGMENT]  "
"8847","4.899032","10.1.0.2","10.1.0.11","WebSocket","6376","","","WebSocket Continuation[FRAGMENT]  "
"8849","4.908519","10.1.0.11","10.1.0.2","WebSocket","6394","-47 dBm","","WebSocket Continuation[FRAGMENT]  "
"8850","4.908519","10.1.0.11","10.1.0.2","WebSocket","6394","-47 dBm","","WebSocket Continuation[FRAGMENT]  "
"8851","4.908519","10.1.0.11","10.1.0.2","WebSocket","1652","-47 dBm","","WebSocket Continuation[FRAGMENT]  "
"8892","4.921212","10.1.0.2","10.1.0.11","WebSocket","6952","","","WebSocket Continuation[FRAGMENT]  "
"8894","4.931044","10.1.0.11","10.1.0.2","WebSocket","6394","-44 dBm","","WebSocket Continuation[FRAGMENT]  "
"8895","4.931044","10.1.0.11","10.1.0.2","WebSocket","7046","-44 dBm","","WebSocket Continuation[FRAGMENT]  "
"8896","4.931044","10.1.0.11","10.1.0.2","WebSocket","1152","-44 dBm","","WebSocket Continuation[FRAGMENT]  "
"8908","4.931878","10.1.0.2","10.1.0.11","WebSocket","7528","","","WebSocket Continuation[FRAGMENT]  "
"8917","4.938927","10.1.0.2","10.1.0.11","WebSocket","4800","","","WebSocket Continuation[FRAGMENT]  "
"8926","4.946141","10.1.0.2","10.1.0.11","WebSocket","1634","","","WebSocket Continuation[FRAGMENT]  "
"8928","4.948197","10.1.0.11","10.1.0.2","TCP","850","-47 dBm","","afs3-vlserver(7003)  >  49153 [ACK] Seq=1 Ack=42001 Win=131072 Len=0 TSval=4960 TSecr=4900"
"8948","4.949505","10.1.0.2","10.1.0.11","TCP","1136","","","afs3-prserver(7002)  >  49154 [ACK] Seq=1 Ack=66001 Win=131072 Len=0 TSval=4940 TSecr=4907"
"8950","4.957904","10.1.0.11","10.1.0.2","WebSocket","6394","-47 dBm","","WebSocket Continuation[FRAGMENT]  "
"8951","4.957904","10.1.0.11","10.1.0.2","WebSocket","6394","-47 dBm","","WebSocket Continuation[FRAGMENT]  "
"8952","4.957904","10.1.0.11","10.1.0.2","WebSocket","1652","-47 dBm","","WebSocket Continuation[FRAGMENT]  "
"8972","4.959289","10.1.0.2","10.1.0.11","WebSocket","6376","","","WebSocket Continuation[FRAGMENT]  "
"8974","4.968856","10.1.0.11","10.1.0.2","WebSocket","6394","-47 dBm","","WebSocket Continuation[FRAGMENT]  "
"8975","4.968856","10.1.0.11","10.1.0.2","WebSocket","6394","-47 dBm","","WebSocket Continuation[FRAGMENT]  "
"8976","4.968856","10.1.0.11","10.1.0.2","WebSocket","1652","-47 dBm","","WebSocket Continuation[FRAGMENT]  "
"8994","4.970089","10.1.0.2","10.1.0.11","TCP","756","","","afs3-prserver(7002)  >  49154 [ACK] Seq=1 Ack=92501 Win=131072 Len=0 TSval=4980 TSecr=4965"
"8998","4.979814","10.1.0.11","10.1.0.2","WebSocket","6394","-47 dBm","","WebSocket Continuation[FRAGMENT]  "
"8999","4.979814","10.1.0.11","10.1.0.2","WebSocket","6394","-47 dBm","","WebSocket Continuation[FRAGMENT]  "
"9016","4.980991","10.1.0.2","10.1.0.11","TCP","376","","","afs3-prserver(7002)  >  49154 [ACK] Seq=1 Ack=104501 Win=131072 Len=0 TSval=4991 TSecr=4965"
"9022","4.990502","10.1.0.11","10.1.0.2","WebSocket","6394","-47 dBm","","WebSocket Continuation[FRAGMENT]  "
"9023","4.990502","10.1.0.11","10.1.0.2","WebSocket","6394","-47 dBm","","WebSocket Continuation[FRAGMENT]  "
"9043","4.991877","10.1.0.2","10.1.0.11","TCP","376","","","afs3-prserver(7002)  >  49154 [ACK] Seq=1 Ack=116501 Win=131072 Len=0 TSval=5002 TSecr=4965"
"9064","5.002922","10.1.0.2","10.1.0.11","WebSocket","6376","","","WebSocket Continuation[FRAGMENT]  "
"9066","5.012612","10.1.0.11","10.1.0.2","WebSocket","6394","-47 dBm","","WebSocket Continuation[FRAGMENT]  "
"9067","5.012612","10.1.0.11","10.1.0.2","WebSocket","6394","-47 dBm","","WebSocket Continuation[FRAGMENT]  "
