"No.","Time","Source","Destination","Protocol","Length","Signal strength (dBm)","Data rate","Info"
"3677","4.287938","10.1.0.11","10.1.0.9","TCP","156","-32 dBm","","49161  >  spg(7016) [SYN] Seq=0 Win=65535 Len=0 TSval=4300 TSecr=0 WS=4 SACK_PERM"
"3718","4.292882","10.1.0.9","10.1.0.11","TCP","138","","","spg(7016)  >  49161 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 TSval=4300 TSecr=4300 WS=4 SACK_PERM"
"3723","4.293302","10.1.0.11","10.1.0.9","TCP","152","-32 dBm","","49161  >  spg(7016) [ACK] Seq=1 Ack=1 Win=131072 Len=0 TSval=4305 TSecr=4300"
"3835","4.304589","10.1.0.9","10.1.0.11","TCP","138","","","49153  >  grasp(7017) [SYN] Seq=0 Win=65535 Len=0 TSval=4300 TSecr=0 WS=4 SACK_PERM"
"3841","4.305000","10.1.0.11","10.1.0.9","TCP","156","-32 dBm","","grasp(7017)  >  49153 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 TSval=4317 TSecr=4300 WS=4 SACK_PERM"
"3904","4.310214","10.1.0.9","10.1.0.11","TCP","134","","","49153  >  grasp(7017) [ACK] Seq=1 Ack=1 Win=131072 Len=0 TSval=4317 TSecr=4317"
"4752","4.851697","10.1.0.11","10.1.0.9","WebSocket","6546","-41 dBm","","WebSocket Continuation[FRAGMENT]  "
"4753","4.851697","10.1.0.11","10.1.0.9","WebSocket","1152","-41 dBm","","WebSocket Continuation[FRAGMENT]  "
"4773","4.853009","10.1.0.9","10.1.0.11","TCP","376","","","spg(7016)  >  49161 [ACK] Seq=1 Ack=7001 Win=131072 Len=0 TSval=4864 TSecr=4860"
"4775","4.857154","10.1.0.11","10.1.0.9","WebSocket","6546","-41 dBm","","WebSocket Continuation[FRAGMENT]  "
"4776","4.857154","10.1.0.11","10.1.0.9","WebSocket","1152","-41 dBm","","WebSocket Continuation[FRAGMENT]  "
"4796","4.858466","10.1.0.9","10.1.0.11","WebSocket","2224","","","WebSocket Continuation[FRAGMENT]  "
"4798","4.864700","10.1.0.11","10.1.0.9","WebSocket","6546","-41 dBm","","WebSocket Continuation[FRAGMENT]  "
"4799","4.864700","10.1.0.11","10.1.0.9","WebSocket","1152","-41 dBm","","WebSocket Continuation[FRAGMENT]  "
"4820","4.866112","10.1.0.9","10.1.0.11","WebSocket","6528","","","WebSocket Continuation[FRAGMENT]  "
"4841","4.872622","10.1.0.9","10.1.0.11","TCP","604","","","spg(7016)  >  49161 [ACK] Seq=1 Ack=21001 Win=131072 Len=0 TSval=4875 TSecr=4871"
"4843","4.881069","10.1.0.11","10.1.0.9","WebSocket","6546","-41 dBm","","WebSocket Continuation[FRAGMENT]  "
