"No.","Time","Source","Destination","Protocol","Length","Signal strength (dBm)","Data rate","Info"
"2000","2.387810","10.1.0.11","10.1.0.5","TCP","156","-36 dBm","","49157  >  afs3-update(7008) [SYN] Seq=0 Win=65535 Len=0 TSval=2400 TSecr=0 WS=4 SACK_PERM"
"2053","2.392965","10.1.0.5","10.1.0.11","TCP","138","","","afs3-update(7008)  >  49157 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 TSval=2400 TSecr=2400 WS=4 SACK_PERM"
"2058","2.393403","10.1.0.11","10.1.0.5","TCP","152","-36 dBm","","49157  >  afs3-update(7008) [ACK] Seq=1 Ack=1 Win=131072 Len=0 TSval=2405 TSecr=2400"
"2118","2.404308","10.1.0.5","10.1.0.11","TCP","138","","","49153  >  afs3-rmtsys(7009) [SYN] Seq=0 Win=65535 Len=0 TSval=2400 TSecr=0 WS=4 SACK_PERM"
"2121","2.404587","10.1.0.11","10.1.0.5","TCP","156","-36 dBm","","afs3-rmtsys(7009)  >  49153 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 TSval=2416 TSecr=2400 WS=4 SACK_PERM"
"2150","2.409918","10.1.0.5","10.1.0.11","TCP","134","","","49153  >  afs3-rmtsys(7009) [ACK] Seq=1 Ack=1 Win=131072 Len=0 TSval=2417 TSecr=2416"
"4609","4.844533","10.1.0.11","10.1.0.5","WebSocket","1152","-43 dBm","","WebSocket Continuation[FRAGMENT]  "
"4632","4.851697","10.1.0.11","10.1.0.5","WebSocket","6546","-46 dBm","","WebSocket Continuation[FRAGMENT]  "
"4652","4.853009","10.1.0.5","10.1.0.11","TCP","376","","","afs3-update(7008)  >  49157 [ACK] Seq=1 Ack=7001 Win=131072 Len=0 TSval=4864 TSecr=4860"
"4654","4.857154","10.1.0.11","10.1.0.5","WebSocket","6546","-46 dBm","","WebSocket Continuation[FRAGMENT]  "
"4655","4.857154","10.1.0.11","10.1.0.5","WebSocket","1152","-46 dBm","","WebSocket Continuation[FRAGMENT]  "
"4675","4.858466","10.1.0.5","10.1.0.11","WebSocket","2224","","","WebSocket Continuation[FRAGMENT]  "
"4677","4.864700","10.1.0.11","10.1.0.5","WebSocket","6546","-46 dBm","","WebSocket Continuation[FRAGMENT]  "
"4678","4.864700","10.1.0.11","10.1.0.5","WebSocket","1152","-46 dBm","","WebSocket Continuation[FRAGMENT]  "
"4699","4.866112","10.1.0.5","10.1.0.11","WebSocket","6528","","","WebSocket Continuation[FRAGMENT]  "
"4701","4.871313","10.1.0.11","10.1.0.5","TCP","394","-46 dBm","","afs3-rmtsys(7009)  >  49153 [ACK] Seq=1 Ack=7001 Win=131072 Len=0 TSval=4883 TSecr=4871"
"4719","4.872622","10.1.0.5","10.1.0.11","TCP","604","","","afs3-update(7008)  >  49157 [ACK] Seq=1 Ack=21001 Win=131072 Len=0 TSval=4875 TSecr=4871"
"4721","4.881069","10.1.0.11","10.1.0.5","WebSocket","6546","-46 dBm","","WebSocket Continuation[FRAGMENT]  "
"4722","4.881069","10.1.0.11","10.1.0.5","WebSocket","7470","-46 dBm","","WebSocket Continuation[FRAGMENT]  "
"4761","4.889003","10.1.0.5","10.1.0.11","TCP","452","","","afs3-update(7008)  >  49157 [ACK] Seq=1 Ack=32501 Win=131072 Len=0 TSval=4893 TSecr=4888"
"4783","4.899032","10.1.0.5","10.1.0.11","WebSocket","6528","","","WebSocket Continuation[FRAGMENT]  "
"4785","4.908519","10.1.0.11","10.1.0.5","WebSocket","7470","-46 dBm","","WebSocket Continuation[FRAGMENT]  "
"4786","4.908519","10.1.0.11","10.1.0.5","WebSocket","6546","-46 dBm","","WebSocket Continuation[FRAGMENT]  "
"4807","4.909963","10.1.0.5","10.1.0.11","WebSocket","6452","","","WebSocket Continuation[FRAGMENT]  "
"4809","4.919477","10.1.0.11","10.1.0.5","WebSocket","6546","-46 dBm","","WebSocket Continuation[FRAGMENT]  "
"4810","4.919477","10.1.0.11","10.1.0.5","WebSocket","7546","-46 dBm","","WebSocket Continuation[FRAGMENT]  "
"4832","4.921212","10.1.0.5","10.1.0.11","WebSocket","6528","","","WebSocket Continuation[FRAGMENT]  "
"4845","4.931878","10.1.0.5","10.1.0.11","WebSocket","2224","","","WebSocket Continuation[FRAGMENT]  "
"4847","4.938359","10.1.0.11","10.1.0.5","WebSocket","6546","-39 dBm","","WebSocket Continuation[FRAGMENT]  "
"4848","4.938359","10.1.0.11","10.1.0.5","WebSocket","6546","-39 dBm","","WebSocket Continuation[FRAGMENT]  "
"4849","4.938359","10.1.0.11","10.1.0.5","WebSocket","6546","-39 dBm","","WebSocket Continuation[FRAGMENT]  "
"4850","4.938359","10.1.0.11","10.1.0.5","WebSocket","1152","-39 dBm","","WebSocket Continuation[FRAGMENT]  "
"4858","4.938927","10.1.0.5","10.1.0.11","TCP","1668","","","afs3-update(7008)  >  49157 [ACK] Seq=1 Ack=78001 Win=131072 Len=0 TSval=4950 TSecr=4917"
"4860","4.945573","10.1.0.11","10.1.0.5","WebSocket","6394","-39 dBm","","WebSocket Continuation[FRAGMENT]  "
"4861","4.945573","10.1.0.11","10.1.0.5","WebSocket","6394","-39 dBm","","WebSocket Continuation[FRAGMENT]  "
"4862","4.945573","10.1.0.11","10.1.0.5","WebSocket","6394","-39 dBm","","WebSocket Continuation[FRAGMENT]  "
