"No.","Time","Source","Destination","Protocol","Length","Signal strength (dBm)","Data rate","Info"
"3191","3.837945","10.1.0.11","10.1.0.8","TCP","156","-37 dBm","","49160  >  microtalon-com(7014) [SYN] Seq=0 Win=65535 Len=0 TSval=3850 TSecr=0 WS=4 SACK_PERM"
"3218","3.842901","10.1.0.8","10.1.0.11","TCP","138","","","microtalon-com(7014)  >  49160 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 TSval=3850 TSecr=3850 WS=4 SACK_PERM"
"3223","3.843319","10.1.0.11","10.1.0.8","TCP","152","-37 dBm","","49160  >  microtalon-com(7014) [ACK] Seq=1 Ack=1 Win=131072 Len=0 TSval=3855 TSecr=3850"
"3283","3.854206","10.1.0.8","10.1.0.11","TCP","138","","","49153  >  talon-webserver(7015) [SYN] Seq=0 Win=65535 Len=0 TSval=3850 TSecr=0 WS=4 SACK_PERM"
"3286","3.854485","10.1.0.11","10.1.0.8","TCP","156","-37 dBm","","talon-webserver(7015)  >  49153 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 TSval=3866 TSecr=3850 WS=4 SACK_PERM"
"3317","3.859905","10.1.0.8","10.1.0.11","TCP","134","","","49153  >  talon-webserver(7015) [ACK] Seq=1 Ack=1 Win=131072 Len=0 TSval=3866 TSecr=3866"
"4900","4.847633","10.1.0.11","10.1.0.8","WebSocket","4394","-44 dBm","","WebSocket Continuation[FRAGMENT]  "
"4912","4.848429","10.1.0.8","10.1.0.11","TCP","224","","","microtalon-com(7014)  >  49160 [ACK] Seq=1 Ack=3001 Win=131072 Len=0 TSval=4860 TSecr=4857"
"4914","4.851697","10.1.0.11","10.1.0.8","WebSocket","3318","-47 dBm","","WebSocket Continuation[FRAGMENT]  "
"4934","4.853009","10.1.0.8","10.1.0.11","TCP","224","","","microtalon-com(7014)  >  49160 [ACK] Seq=1 Ack=7001 Win=131072 Len=0 TSval=4864 TSecr=4860"
"4953","4.858466","10.1.0.8","10.1.0.11","WebSocket","2224","","","WebSocket Continuation[FRAGMENT]  "
"4955","4.864700","10.1.0.11","10.1.0.8","WebSocket","6546","-47 dBm","","WebSocket Continuation[FRAGMENT]  "
"4956","4.864700","10.1.0.11","10.1.0.8","WebSocket","6546","-47 dBm","","WebSocket Continuation[FRAGMENT]  "
