"No.","Time","Source","Destination","Protocol","Length","Signal strength (dBm)","Data rate","Info"
"3525","1.438015","10.1.0.11","10.1.0.3","TCP","156","","","49155  >  afs3-kaserver(7004) [SYN] Seq=0 Win=65535 Len=0 TSval=1450 TSecr=0 WS=4 SACK_PERM"
"3800","1.448929","10.1.0.3","10.1.0.11","TCP","138","-42 dBm","","49153  >  afs3-volser(7005) [SYN] Seq=0 Win=65535 Len=0 TSval=1450 TSecr=0 WS=4 SACK_PERM"
"3804","1.449276","10.1.0.3","10.1.0.11","TCP","138","-42 dBm","","afs3-kaserver(7004)  >  49155 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 TSval=1450 TSecr=1450 WS=4 SACK_PERM"
"3808","1.449340","10.1.0.11","10.1.0.3","TCP","156","","","afs3-volser(7005)  >  49153 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 TSval=1461 TSecr=1450 WS=4 SACK_PERM"
"3957","1.454673","10.1.0.3","10.1.0.11","TCP","134","-42 dBm","","49153  >  afs3-volser(7005) [ACK] Seq=1 Ack=1 Win=131072 Len=0 TSval=1461 TSecr=1461"
"3959","1.454737","10.1.0.11","10.1.0.3","TCP","152","","","49155  >  afs3-kaserver(7004) [ACK] Seq=1 Ack=1 Win=131072 Len=0 TSval=1461 TSecr=1450"
"26604","4.854873","10.1.0.3","10.1.0.11","WebSocket","2224","-45 dBm","","WebSocket Continuation[FRAGMENT]  "
"26613","4.854986","10.1.0.11","10.1.0.3","WebSocket","6546","","","WebSocket Continuation[FRAGMENT]  "
"26614","4.854986","10.1.0.11","10.1.0.3","WebSocket","1152","","","WebSocket Continuation[FRAGMENT]  "
"26664","4.860330","10.1.0.3","10.1.0.11","WebSocket","2224","-45 dBm","","WebSocket Continuation[FRAGMENT]  "
"26671","4.860452","10.1.0.11","10.1.0.3","WebSocket","6546","","","WebSocket Continuation[FRAGMENT]  "
"26723","4.871272","10.1.0.3","10.1.0.11","WebSocket","6528","-45 dBm","","WebSocket Continuation[FRAGMENT]  "
"26731","4.871385","10.1.0.11","10.1.0.3","TCP","470","","","afs3-volser(7005)  >  49153 [ACK] Seq=1 Ack=9001 Win=131072 Len=0 TSval=4883 TSecr=4868"
"26773","4.876726","10.1.0.3","10.1.0.11","TCP","604","-45 dBm","","afs3-kaserver(7004)  >  49155 [ACK] Seq=1 Ack=13001 Win=131072 Len=0 TSval=4877 TSecr=4871"
"26782","4.876821","10.1.0.11","10.1.0.3","WebSocket","6970","","","WebSocket Continuation[FRAGMENT]  "
"26783","4.876821","10.1.0.11","10.1.0.3","WebSocket","6394","","","WebSocket Continuation[FRAGMENT]  "
"26835","4.887645","10.1.0.3","10.1.0.11","WebSocket","7028","-45 dBm","","WebSocket Continuation[FRAGMENT]  "
"26843","4.887767","10.1.0.11","10.1.0.3","TCP","318","","","afs3-volser(7005)  >  49153 [ACK] Seq=1 Ack=15001 Win=131072 Len=0 TSval=4899 TSecr=4872"
"26885","4.893107","10.1.0.3","10.1.0.11","TCP","376","-45 dBm","","afs3-kaserver(7004)  >  49155 [ACK] Seq=1 Ack=24001 Win=131072 Len=0 TSval=4893 TSecr=4888"
"26900","4.893211","10.1.0.11","10.1.0.3","WebSocket","6394","","","WebSocket Continuation[FRAGMENT]  "
"26901","4.893211","10.1.0.11","10.1.0.3","WebSocket","7046","","","WebSocket Continuation[FRAGMENT]  "
"26902","4.893211","10.1.0.11","10.1.0.3","WebSocket","1152","","","WebSocket Continuation[FRAGMENT]  "
"26949","4.904064","10.1.0.3","10.1.0.11","WebSocket","6376","-45 dBm","","WebSocket Continuation[FRAGMENT]  "
"26969","4.904159","10.1.0.11","10.1.0.3","WebSocket","7470","","","WebSocket Continuation[FRAGMENT]  "
"26970","4.904159","10.1.0.11","10.1.0.3","WebSocket","6394","","","WebSocket Continuation[FRAGMENT]  "
"27015","4.914995","10.1.0.3","10.1.0.11","WebSocket","6952","-45 dBm","","WebSocket Continuation[FRAGMENT]  "
"27034","4.915117","10.1.0.11","10.1.0.3","WebSocket","6546","","","WebSocket Continuation[FRAGMENT]  "
"27035","4.915117","10.1.0.11","10.1.0.3","WebSocket","5470","","","WebSocket Continuation[FRAGMENT]  "
"27075","4.926244","10.1.0.3","10.1.0.11","WebSocket","5952","-45 dBm","","WebSocket Continuation[FRAGMENT]  "
"27123","4.937150","10.1.0.3","10.1.0.11","WebSocket","6376","-45 dBm","","WebSocket Continuation[FRAGMENT]  "
"27160","4.942615","10.1.0.3","10.1.0.11","WebSocket","4800","-45 dBm","","WebSocket Continuation[FRAGMENT]  "
"27206","4.948053","10.1.0.3","10.1.0.11","TCP","1288","-45 dBm","","afs3-kaserver(7004)  >  49155 [ACK] Seq=1 Ack=63001 Win=131072 Len=0 TSval=4931 TSecr=4911"
"27215","4.948157","10.1.0.11","10.1.0.3","TCP","926","","","afs3-volser(7005)  >  49153 [ACK] Seq=1 Ack=45001 Win=131072 Len=0 TSval=4954 TSecr=4900"
"27258","4.953497","10.1.0.3","10.1.0.11","WebSocket","4800","-45 dBm","","WebSocket Continuation[FRAGMENT]  "
"27273","4.953592","10.1.0.11","10.1.0.3","WebSocket","6394","","","WebSocket Continuation[FRAGMENT]  "
"27274","4.953592","10.1.0.11","10.1.0.3","WebSocket","6394","","","WebSocket Continuation[FRAGMENT]  "
"27275","4.953592","10.1.0.11","10.1.0.3","WebSocket","1652","","","WebSocket Continuation[FRAGMENT]  "
"27324","4.964449","10.1.0.3","10.1.0.11","WebSocket","6376","-45 dBm","","WebSocket Continuation[FRAGMENT]  "
"27339","4.964544","10.1.0.11","10.1.0.3","WebSocket","6394","","","WebSocket Continuation[FRAGMENT]  "
"27340","4.964544","10.1.0.11","10.1.0.3","WebSocket","6394","","","WebSocket Continuation[FRAGMENT]  "
"27341","4.964544","10.1.0.11","10.1.0.3","WebSocket","1652","","","WebSocket Continuation[FRAGMENT]  "
"27388","4.975361","10.1.0.3","10.1.0.11","TCP","756","-45 dBm","","afs3-kaserver(7004)  >  49155 [ACK] Seq=1 Ack=90001 Win=131072 Len=0 TSval=4981 TSecr=4960"
"27402","4.975598","10.1.0.11","10.1.0.3","WebSocket","6394","","","WebSocket Continuation[FRAGMENT]  "
"27403","4.975598","10.1.0.11","10.1.0.3","WebSocket","6394","","","WebSocket Continuation[FRAGMENT]  "
"27445","4.986263","10.1.0.3","10.1.0.11","TCP","376","-45 dBm","","afs3-kaserver(7004)  >  49155 [ACK] Seq=1 Ack=102001 Win=131072 Len=0 TSval=4991 TSecr=4960"
"27462","4.986606","10.1.0.11","10.1.0.3","WebSocket","6394","","","WebSocket Continuation[FRAGMENT]  "
"27463","4.986606","10.1.0.11","10.1.0.3","WebSocket","6394","","","WebSocket Continuation[FRAGMENT]  "
"27509","4.997149","10.1.0.3","10.1.0.11","TCP","376","-45 dBm","","afs3-kaserver(7004)  >  49155 [ACK] Seq=1 Ack=114001 Win=131072 Len=0 TSval=5002 TSecr=4960"
"27524","4.997244","10.1.0.11","10.1.0.3","WebSocket","6394","","","WebSocket Continuation[FRAGMENT]  "
"27525","4.997244","10.1.0.11","10.1.0.3","WebSocket","7546","","","WebSocket Continuation[FRAGMENT]  "
"27574","5.008082","10.1.0.3","10.1.0.11","WebSocket","6376","-45 dBm","","WebSocket Continuation[FRAGMENT]  "
"27589","5.008204","10.1.0.11","10.1.0.3","WebSocket","6546","","","WebSocket Continuation[FRAGMENT]  "
"27590","5.008204","10.1.0.11","10.1.0.3","WebSocket","6546","","","WebSocket Continuation[FRAGMENT]  "
"27591","5.008204","10.1.0.11","10.1.0.3","WebSocket","1152","","","WebSocket Continuation[FRAGMENT]  "
"27636","5.018976","10.1.0.3","10.1.0.11","TCP","908","-45 dBm","","afs3-kaserver(7004)  >  49155 [ACK] Seq=1 Ack=139001 Win=131072 Len=0 TSval=5024 TSecr=4971"
"27658","5.019656","10.1.0.11","10.1.0.3","WebSocket","7470","","","WebSocket Continuation[FRAGMENT]  "
"27659","5.019656","10.1.0.11","10.1.0.3","WebSocket","6394","","","WebSocket Continuation[FRAGMENT]  "
"27701","5.030197","10.1.0.3","10.1.0.11","WebSocket","6376","-45 dBm","","WebSocket Continuation[FRAGMENT]  "
"27725","5.030319","10.1.0.11","10.1.0.3","WebSocket","7546","","","WebSocket Continuation[FRAGMENT]  "
"27726","5.030319","10.1.0.11","10.1.0.3","WebSocket","6546","","","WebSocket Continuation[FRAGMENT]  "
"27772","5.041286","10.1.0.11","10.1.0.3","TCP","622","","","afs3-volser(7005)  >  49153 [ACK] Seq=1 Ack=66001 Win=131072 Len=0 TSval=5042 TSecr=4960"
"27814","5.046626","10.1.0.3","10.1.0.11","TCP","908","-45 dBm","","afs3-kaserver(7004)  >  49155 [ACK] Seq=1 Ack=166001 Win=131072 Len=0 TSval=5047 TSecr=4993"
"27880","5.057578","10.1.0.3","10.1.0.11","WebSocket","6376","-45 dBm","","WebSocket Continuation[FRAGMENT]  "
"27890","5.057682","10.1.0.11","10.1.0.3","WebSocket","6546","","","WebSocket Continuation[FRAGMENT]  "
"27891","5.057682","10.1.0.11","10.1.0.3","WebSocket","6546","","","WebSocket Continuation[FRAGMENT]  "
"27892","5.057682","10.1.0.11","10.1.0.3","WebSocket","1152","","","WebSocket Continuation[FRAGMENT]  "
"27948","5.068502","10.1.0.3","10.1.0.11","WebSocket","6376","-45 dBm","","WebSocket Continuation[FRAGMENT]  "
"27963","5.068651","10.1.0.11","10.1.0.3","WebSocket","6546","","","WebSocket Continuation[FRAGMENT]  "
"27964","5.068651","10.1.0.11","10.1.0.3","WebSocket","6546","","","WebSocket Continuation[FRAGMENT]  "
"27965","5.068651","10.1.0.11","10.1.0.3","WebSocket","1152","","","WebSocket Continuation[FRAGMENT]  "
"28011","5.079480","10.1.0.3","10.1.0.11","WebSocket","6376","-45 dBm","","WebSocket Continuation[FRAGMENT]  "
