"No.","Time","Source","Destination","Protocol","Length","Signal strength (dBm)","Data rate","Info"
"24957","4.788188","10.1.0.11","10.1.0.10","TCP","156","","","49162  >  fisa-svc(7018) [SYN] Seq=0 Win=65535 Len=0 TSval=4800 TSecr=0 WS=4 SACK_PERM"
"25302","4.793256","10.1.0.10","10.1.0.11","TCP","138","-38 dBm","","fisa-svc(7018)  >  49162 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 TSval=4800 TSecr=4800 WS=4 SACK_PERM"
"25309","4.793610","10.1.0.11","10.1.0.10","TCP","152","","","49162  >  fisa-svc(7018) [ACK] Seq=1 Ack=1 Win=131072 Len=0 TSval=4805 TSecr=4800"
"26076","4.804741","10.1.0.10","10.1.0.11","TCP","138","-38 dBm","","49153  >  doceri-ctl(7019) [SYN] Seq=0 Win=65535 Len=0 TSval=4800 TSecr=0 WS=4 SACK_PERM"
"26082","4.805028","10.1.0.11","10.1.0.10","TCP","156","","","doceri-ctl(7019)  >  49153 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 TSval=4816 TSecr=4800 WS=4 SACK_PERM"
"26465","4.810348","10.1.0.10","10.1.0.11","TCP","134","-38 dBm","","49153  >  doceri-ctl(7019) [ACK] Seq=1 Ack=1 Win=131072 Len=0 TSval=4817 TSecr=4816"
"26560","4.849529","10.1.0.11","10.1.0.10","WebSocket","6546","","","WebSocket Continuation[FRAGMENT]  "
"26561","4.849529","10.1.0.11","10.1.0.10","WebSocket","1152","","","WebSocket Continuation[FRAGMENT]  "
"26603","4.854873","10.1.0.10","10.1.0.11","TCP","376","-41 dBm","","fisa-svc(7018)  >  49162 [ACK] Seq=1 Ack=7001 Win=131072 Len=0 TSval=4864 TSecr=4860"
"26617","4.854986","10.1.0.11","10.1.0.10","WebSocket","6546","","","WebSocket Continuation[FRAGMENT]  "
"26618","4.854986","10.1.0.11","10.1.0.10","WebSocket","1152","","","WebSocket Continuation[FRAGMENT]  "
"26663","4.860330","10.1.0.10","10.1.0.11","WebSocket","2224","-41 dBm","","WebSocket Continuation[FRAGMENT]  "
"26674","4.860452","10.1.0.11","10.1.0.10","WebSocket","6546","","","WebSocket Continuation[FRAGMENT]  "
"26675","4.860452","10.1.0.11","10.1.0.10","WebSocket","1152","","","WebSocket Continuation[FRAGMENT]  "
