"No.","Time","Source","Destination","Protocol","Length","Signal strength (dBm)","Data rate","Info"
"1957","0.938012","10.1.0.11","10.1.0.2","TCP","156","","","49154  >  afs3-prserver(7002) [SYN] Seq=0 Win=65535 Len=0 TSval=950 TSecr=0 WS=4 SACK_PERM"
"2076","0.943280","10.1.0.2","10.1.0.11","TCP","138","-43 dBm","","afs3-prserver(7002)  >  49154 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 TSval=950 TSecr=950 WS=4 SACK_PERM"
"2085","0.943984","10.1.0.2","10.1.0.11","TCP","138","-43 dBm","","49153  >  afs3-vlserver(7003) [SYN] Seq=0 Win=65535 Len=0 TSval=950 TSecr=0 WS=4 SACK_PERM"
"2087","0.944048","10.1.0.11","10.1.0.2","TCP","152","","","49154  >  afs3-prserver(7002) [ACK] Seq=1 Ack=1 Win=131072 Len=0 TSval=955 TSecr=950"
"2230","0.949084","10.1.0.11","10.1.0.2","TCP","156","","","afs3-vlserver(7003)  >  49153 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 TSval=956 TSecr=950 WS=4 SACK_PERM"
"3009","1.211325","10.1.0.2","10.1.0.11","TCP","134","-43 dBm","","49153  >  afs3-vlserver(7003) [ACK] Seq=1 Ack=1 Win=131072 Len=0 TSval=961 TSecr=956"
"26486","4.844445","10.1.0.11","10.1.0.2","WebSocket","1152","","","WebSocket Continuation[FRAGMENT]  "
"26519","4.846441","10.1.0.2","10.1.0.11","TCP","134","-43 dBm","","afs3-prserver(7002)  >  49154 [ACK] Seq=1 Ack=1001 Win=131072 Len=0 TSval=4857 TSecr=4856"
"26522","4.846505","10.1.0.11","10.1.0.2","WebSocket","3318","","","WebSocket Continuation[FRAGMENT]  "
"26564","4.849529","10.1.0.11","10.1.0.2","WebSocket","3318","","","WebSocket Continuation[FRAGMENT]  "
"26607","4.854873","10.1.0.2","10.1.0.11","WebSocket","2224","-46 dBm","","WebSocket Continuation[FRAGMENT]  "
"26623","4.854986","10.1.0.11","10.1.0.2","WebSocket","6546","","","WebSocket Continuation[FRAGMENT]  "
"26624","4.854986","10.1.0.11","10.1.0.2","WebSocket","1152","","","WebSocket Continuation[FRAGMENT]  "
"26667","4.860330","10.1.0.2","10.1.0.11","WebSocket","2224","-46 dBm","","WebSocket Continuation[FRAGMENT]  "
"26726","4.871272","10.1.0.2","10.1.0.11","WebSocket","6528","-46 dBm","","WebSocket Continuation[FRAGMENT]  "
"26730","4.871385","10.1.0.11","10.1.0.2","TCP","470","","","afs3-vlserver(7003)  >  49153 [ACK] Seq=1 Ack=9001 Win=131072 Len=0 TSval=4883 TSecr=4867"
"26776","4.876726","10.1.0.2","10.1.0.11","TCP","528","-46 dBm","","afs3-prserver(7002)  >  49154 [ACK] Seq=1 Ack=13001 Win=131072 Len=0 TSval=4869 TSecr=4865"
"26784","4.876821","10.1.0.11","10.1.0.2","WebSocket","6970","","","WebSocket Continuation[FRAGMENT]  "
"26785","4.876821","10.1.0.11","10.1.0.2","WebSocket","6394","","","WebSocket Continuation[FRAGMENT]  "
"26837","4.887645","10.1.0.2","10.1.0.11","WebSocket","7028","-46 dBm","","WebSocket Continuation[FRAGMENT]  "
"26842","4.887767","10.1.0.11","10.1.0.2","TCP","318","","","afs3-vlserver(7003)  >  49153 [ACK] Seq=1 Ack=15001 Win=131072 Len=0 TSval=4899 TSecr=4872"
"26888","4.893107","10.1.0.2","10.1.0.11","TCP","452","-46 dBm","","afs3-prserver(7002)  >  49154 [ACK] Seq=1 Ack=26501 Win=131072 Len=0 TSval=4893 TSecr=4888"
"26903","4.893211","10.1.0.11","10.1.0.2","WebSocket","6394","","","WebSocket Continuation[FRAGMENT]  "
"26904","4.893211","10.1.0.11","10.1.0.2","WebSocket","6394","","","WebSocket Continuation[FRAGMENT]  "
"26905","4.893211","10.1.0.11","10.1.0.2","WebSocket","1652","","","WebSocket Continuation[FRAGMENT]  "
"26952","4.904064","10.1.0.2","10.1.0.11","WebSocket","6376","-46 dBm","","WebSocket Continuation[FRAGMENT]  "
"26971","4.904159","10.1.0.11","10.1.0.2","WebSocket","6394","","","WebSocket Continuation[FRAGMENT]  "
"26972","4.904159","10.1.0.11","10.1.0.2","WebSocket","6394","","","WebSocket Continuation[FRAGMENT]  "
"26973","4.904159","10.1.0.11","10.1.0.2","WebSocket","1652","","","WebSocket Continuation[FRAGMENT]  "
"27078","4.926244","10.1.0.2","10.1.0.11","WebSocket","6952","-46 dBm","","WebSocket Continuation[FRAGMENT]  "
"27081","4.926348","10.1.0.11","10.1.0.2","WebSocket","6394","","","WebSocket Continuation[FRAGMENT]  "
"27082","4.926348","10.1.0.11","10.1.0.2","WebSocket","7046","","","WebSocket Continuation[FRAGMENT]  "
"27083","4.926348","10.1.0.11","10.1.0.2","WebSocket","1152","","","WebSocket Continuation[FRAGMENT]  "
"27126","4.937150","10.1.0.2","10.1.0.11","WebSocket","7528","-46 dBm","","WebSocket Continuation[FRAGMENT]  "
"27163","4.942615","10.1.0.2","10.1.0.11","WebSocket","4800","-46 dBm","","WebSocket Continuation[FRAGMENT]  "
"27209","4.948053","10.1.0.2","10.1.0.11","WebSocket","1634","-46 dBm","","WebSocket Continuation[FRAGMENT]  "
"27214","4.948157","10.1.0.11","10.1.0.2","TCP","850","","","afs3-vlserver(7003)  >  49153 [ACK] Seq=1 Ack=42001 Win=131072 Len=0 TSval=4960 TSecr=4900"
"27261","4.953497","10.1.0.2","10.1.0.11","TCP","1136","-46 dBm","","afs3-prserver(7002)  >  49154 [ACK] Seq=1 Ack=66001 Win=131072 Len=0 TSval=4940 TSecr=4907"
"27276","4.953592","10.1.0.11","10.1.0.2","WebSocket","6394","","","WebSocket Continuation[FRAGMENT]  "
"27277","4.953592","10.1.0.11","10.1.0.2","WebSocket","6394","","","WebSocket Continuation[FRAGMENT]  "
"27278","4.953592","10.1.0.11","10.1.0.2","WebSocket","1652","","","WebSocket Continuation[FRAGMENT]  "
"27327","4.964449","10.1.0.2","10.1.0.11","WebSocket","6376","-46 dBm","","WebSocket Continuation[FRAGMENT]  "
"27342","4.964544","10.1.0.11","10.1.0.2","WebSocket","6394","","","WebSocket Continuation[FRAGMENT]  "
"27343","4.964544","10.1.0.11","10.1.0.2","WebSocket","6394","","","WebSocket Continuation[FRAGMENT]  "
"27344","4.964544","10.1.0.11","10.1.0.2","WebSocket","1652","","","WebSocket Continuation[FRAGMENT]  "
"27391","4.975361","10.1.0.2","10.1.0.11","TCP","756","-46 dBm","","afs3-prserver(7002)  >  49154 [ACK] Seq=1 Ack=92501 Win=131072 Len=0 TSval=4980 TSecr=4965"
"27404","4.975598","10.1.0.11","10.1.0.2","WebSocket","6394","","","WebSocket Continuation[FRAGMENT]  "
"27405","4.975598","10.1.0.11","10.1.0.2","WebSocket","6394","","","WebSocket Continuation[FRAGMENT]  "
