"No.","Time","Source","Destination","Protocol","Length","Signal strength (dBm)","Data rate","Info"
"27443","4.986263","10.1.0.6","10.1.0.11","TCP","376","-34 dBm","","ups-onlinet(7010)  >  49158 [ACK] Seq=1 Ack=84001 Win=131072 Len=0 TSval=4991 TSecr=4960"
"27460","4.986606","10.1.0.11","10.1.0.6","WebSocket","6394","","","WebSocket Continuation[FRAGMENT]  "
"27461","4.986606","10.1.0.11","10.1.0.6","WebSocket","6394","","","WebSocket Continuation[FRAGMENT]  "
"27506","4.997149","10.1.0.6","10.1.0.11","TCP","376","-34 dBm","","ups-onlinet(7010)  >  49158 [ACK] Seq=1 Ack=96001 Win=131072 Len=0 TSval=5002 TSecr=4960"
"27521","4.997244","10.1.0.11","10.1.0.6","WebSocket","6394","","","WebSocket Continuation[FRAGMENT]  "
"27522","4.997244","10.1.0.11","10.1.0.6","WebSocket","6394","","","WebSocket Continuation[FRAGMENT]  "
"27523","4.997244","10.1.0.11","10.1.0.6","WebSocket","1652","","","WebSocket Continuation[FRAGMENT]  "
"27571","5.008082","10.1.0.6","10.1.0.11","WebSocket","6376","-34 dBm","","WebSocket Continuation[FRAGMENT]  "
"27586","5.008204","10.1.0.11","10.1.0.6","WebSocket","6394","","","WebSocket Continuation[FRAGMENT]  "
"27587","5.008204","10.1.0.11","10.1.0.6","WebSocket","6394","","","WebSocket Continuation[FRAGMENT]  "
"27588","5.008204","10.1.0.11","10.1.0.6","WebSocket","1652","","","WebSocket Continuation[FRAGMENT]  "
"27634","5.018976","10.1.0.6","10.1.0.11","TCP","756","-34 dBm","","ups-onlinet(7010)  >  49158 [ACK] Seq=1 Ack=123001 Win=131072 Len=0 TSval=5025 TSecr=4987"
"27652","5.019656","10.1.0.11","10.1.0.6","WebSocket","6394","","","WebSocket Continuation[FRAGMENT]  "
"27653","5.019656","10.1.0.11","10.1.0.6","WebSocket","6394","","","WebSocket Continuation[FRAGMENT]  "
"27698","5.030197","10.1.0.6","10.1.0.11","WebSocket","6376","-34 dBm","","WebSocket Continuation[FRAGMENT]  "
"27712","5.030319","10.1.0.11","10.1.0.6","WebSocket","6394","","","WebSocket Continuation[FRAGMENT]  "
"27713","5.030319","10.1.0.11","10.1.0.6","WebSocket","6394","","","WebSocket Continuation[FRAGMENT]  "
"27714","5.030319","10.1.0.11","10.1.0.6","WebSocket","1652","","","WebSocket Continuation[FRAGMENT]  "
"27761","5.041191","10.1.0.6","10.1.0.11","WebSocket","6376","-34 dBm","","WebSocket Continuation[FRAGMENT]  "
"27777","5.041286","10.1.0.11","10.1.0.6","TCP","774","","","talon-disc(7011)  >  49153 [ACK] Seq=1 Ack=67001 Win=131072 Len=0 TSval=5053 TSecr=4960"
"27811","5.046626","10.1.0.6","10.1.0.11","TCP","680","-34 dBm","","ups-onlinet(7010)  >  49158 [ACK] Seq=1 Ack=147001 Win=131072 Len=0 TSval=5046 TSecr=4998"
"27833","5.046730","10.1.0.11","10.1.0.6","WebSocket","6394","","","WebSocket Continuation[FRAGMENT]  "
"27834","5.046730","10.1.0.11","10.1.0.6","WebSocket","6394","","","WebSocket Continuation[FRAGMENT]  "
"27835","5.046730","10.1.0.11","10.1.0.6","WebSocket","1652","","","WebSocket Continuation[FRAGMENT]  "
"27878","5.057578","10.1.0.6","10.1.0.11","WebSocket","6376","-34 dBm","","WebSocket Continuation[FRAGMENT]  "
"27905","5.057682","10.1.0.11","10.1.0.6","WebSocket","6394","","","WebSocket Continuation[FRAGMENT]  "
"27906","5.057682","10.1.0.11","10.1.0.6","WebSocket","6394","","","WebSocket Continuation[FRAGMENT]  "
"27907","5.057682","10.1.0.11","10.1.0.6","WebSocket","1652","","","WebSocket Continuation[FRAGMENT]  "
"27945","5.068502","10.1.0.6","10.1.0.11","WebSocket","6376","-34 dBm","","WebSocket Continuation[FRAGMENT]  "
"28018","5.079620","10.1.0.11","10.1.0.6","WebSocket","6394","","","WebSocket Continuation[FRAGMENT]  "
"28019","5.079620","10.1.0.11","10.1.0.6","WebSocket","6394","","","WebSocket Continuation[FRAGMENT]  "
"28020","5.079620","10.1.0.11","10.1.0.6","WebSocket","1652","","","WebSocket Continuation[FRAGMENT]  "
"28074","5.090485","10.1.0.6","10.1.0.11","WebSocket","6376","-34 dBm","","WebSocket Continuation[FRAGMENT]  "
"28085","5.090580","10.1.0.11","10.1.0.6","WebSocket","6394","","","WebSocket Continuation[FRAGMENT]  "
"28086","5.090580","10.1.0.11","10.1.0.6","WebSocket","6394","","","WebSocket Continuation[FRAGMENT]  "
"28087","5.090580","10.1.0.11","10.1.0.6","WebSocket","1652","","","WebSocket Continuation[FRAGMENT]  "
"28132","5.101379","10.1.0.6","10.1.0.11","TCP","1440","-34 dBm","","ups-onlinet(7010)  >  49158 [ACK] Seq=1 Ack=201001 Win=131072 Len=0 TSval=5106 TSecr=5058"
"28147","5.101634","10.1.0.11","10.1.0.6","WebSocket","6394","","","WebSocket Continuation[FRAGMENT]  "
"28148","5.101634","10.1.0.11","10.1.0.6","WebSocket","6394","","","WebSocket Continuation[FRAGMENT]  "
"28193","5.112325","10.1.0.6","10.1.0.11","WebSocket","6376","-34 dBm","","WebSocket Continuation[FRAGMENT]  "
"28211","5.112438","10.1.0.11","10.1.0.6","WebSocket","6394","","","WebSocket Continuation[FRAGMENT]  "
"28212","5.112438","10.1.0.11","10.1.0.6","WebSocket","6394","","","WebSocket Continuation[FRAGMENT]  "
"28213","5.112438","10.1.0.11","10.1.0.6","WebSocket","1652","","","WebSocket Continuation[FRAGMENT]  "
"28260","5.123267","10.1.0.6","10.1.0.11","WebSocket","6376","-34 dBm","","WebSocket Continuation[FRAGMENT]  "
"28281","5.123699","10.1.0.11","10.1.0.6","WebSocket","6394","","","WebSocket Continuation[FRAGMENT]  "
"28282","5.123699","10.1.0.11","10.1.0.6","WebSocket","6394","","","WebSocket Continuation[FRAGMENT]  "
"28283","5.123699","10.1.0.11","10.1.0.6","WebSocket","1652","","","WebSocket Continuation[FRAGMENT]  "
"28327","5.134555","10.1.0.6","10.1.0.11","WebSocket","6376","-34 dBm","","WebSocket Continuation[FRAGMENT]  "
"28350","5.134668","10.1.0.11","10.1.0.6","WebSocket","6394","","","WebSocket Continuation[FRAGMENT]  "
"28351","5.134668","10.1.0.11","10.1.0.6","WebSocket","6394","","","WebSocket Continuation[FRAGMENT]  "
"28352","5.134668","10.1.0.11","10.1.0.6","WebSocket","1652","","","WebSocket Continuation[FRAGMENT]  "
"28391","5.145524","10.1.0.6","10.1.0.11","WebSocket","6376","-34 dBm","","WebSocket Continuation[FRAGMENT]  "
"28419","5.145619","10.1.0.11","10.1.0.6","WebSocket","6394","","","WebSocket Continuation[FRAGMENT]  "
"28420","5.145619","10.1.0.11","10.1.0.6","WebSocket","6394","","","WebSocket Continuation[FRAGMENT]  "
"28421","5.145619","10.1.0.11","10.1.0.6","WebSocket","1652","","","WebSocket Continuation[FRAGMENT]  "
"28457","5.156421","10.1.0.6","10.1.0.11","WebSocket","6376","-34 dBm","","WebSocket Continuation[FRAGMENT]  "
"28517","5.166678","10.1.0.6","10.1.0.11","WebSocket","3224","-34 dBm","","WebSocket Continuation[FRAGMENT]  "
"28649","5.184545","10.1.0.6","10.1.0.11","TCP","1744","-34 dBm","","ups-onlinet(7010)  >  49158 [ACK] Seq=1 Ack=267001 Win=131072 Len=0 TSval=5161 TSecr=5113"
"28659","5.184613","10.1.0.11","10.1.0.6","WebSocket","3242","","","WebSocket Continuation[FRAGMENT]  "
"28706","5.188119","10.1.0.11","10.1.0.6","WebSocket","6394","","","WebSocket Continuation[FRAGMENT]  "
"28707","5.188119","10.1.0.11","10.1.0.6","WebSocket","6394","","","WebSocket Continuation[FRAGMENT]  "
"28708","5.188119","10.1.0.11","10.1.0.6","WebSocket","1652","","","WebSocket Continuation[FRAGMENT]  "
"28760","5.194857","10.1.0.6","10.1.0.11","TCP","528","-34 dBm","","ups-onlinet(7010)  >  49158 [ACK] Seq=1 Ack=285001 Win=131072 Len=0 TSval=5204 TSecr=5196"
"28770","5.194925","10.1.0.11","10.1.0.6","WebSocket","4818","","","WebSocket Continuation[FRAGMENT]  "
"28814","5.199921","10.1.0.6","10.1.0.11","TCP","134","-34 dBm","","ups-onlinet(7010)  >  49158 [ACK] Seq=1 Ack=288001 Win=131072 Len=0 TSval=5210 TSecr=5196"
"28882","5.204591","10.1.0.11","10.1.0.6","WebSocket","6394","","","WebSocket Continuation[FRAGMENT]  "
"28883","5.204591","10.1.0.11","10.1.0.6","WebSocket","6394","","","WebSocket Continuation[FRAGMENT]  "
