"No.","Time","Source","Destination","Protocol","Length","Signal strength (dBm)","Data rate","Info"
"2893","3.337814","10.1.0.11","10.1.0.7","TCP","156","-23 dBm","","49159  >  talon-engine(7012) [SYN] Seq=0 Win=65535 Len=0 TSval=3350 TSecr=0 WS=4 SACK_PERM"
"2946","3.342970","10.1.0.7","10.1.0.11","TCP","138","","","talon-engine(7012)  >  49159 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 TSval=3350 TSecr=3350 WS=4 SACK_PERM"
"2951","3.343496","10.1.0.11","10.1.0.7","TCP","152","-23 dBm","","49159  >  talon-engine(7012) [ACK] Seq=1 Ack=1 Win=131072 Len=0 TSval=3355 TSecr=3350"
"3088","3.354409","10.1.0.7","10.1.0.11","TCP","138","","","49153  >  microtalon-dis(7013) [SYN] Seq=0 Win=65535 Len=0 TSval=3350 TSecr=0 WS=4 SACK_PERM"
"3094","3.354820","10.1.0.11","10.1.0.7","TCP","156","-23 dBm","","microtalon-dis(7013)  >  49153 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 TSval=3366 TSecr=3350 WS=4 SACK_PERM"
"3122","3.359967","10.1.0.7","10.1.0.11","TCP","134","","","49153  >  microtalon-dis(7013) [ACK] Seq=1 Ack=1 Win=131072 Len=0 TSval=3367 TSecr=3366"
"5110","4.847633","10.1.0.11","10.1.0.7","WebSocket","3318","-30 dBm","","WebSocket Continuation[FRAGMENT]  "
"5122","4.848429","10.1.0.7","10.1.0.11","TCP","224","","","talon-engine(7012)  >  49159 [ACK] Seq=1 Ack=3001 Win=131072 Len=0 TSval=4860 TSecr=4857"
"5124","4.851697","10.1.0.11","10.1.0.7","WebSocket","4394","-33 dBm","","WebSocket Continuation[FRAGMENT]  "
"5144","4.853009","10.1.0.7","10.1.0.11","TCP","224","","","talon-engine(7012)  >  49159 [ACK] Seq=1 Ack=7001 Win=131072 Len=0 TSval=4864 TSecr=4860"
"5146","4.857154","10.1.0.11","10.1.0.7","WebSocket","6546","-33 dBm","","WebSocket Continuation[FRAGMENT]  "
"5147","4.857154","10.1.0.11","10.1.0.7","WebSocket","1152","-33 dBm","","WebSocket Continuation[FRAGMENT]  "
