"No.","Time","Source","Destination","Protocol","Length","TCP Segment Len","Info"
"282","68.994122","169.1.4.3","169.1.3.2","UDP","614","","49153  >  69 Len=2048"
"286","69.994122","169.1.4.3","169.1.3.2","UDP","614","","49153  >  69 Len=2048"
"290","70.994122","169.1.4.3","169.1.3.2","UDP","614","","49153  >  69 Len=2048"
"294","71.994122","169.1.4.3","169.1.3.2","UDP","614","","49153  >  69 Len=2048"
"298","72.994122","169.1.4.3","169.1.3.2","UDP","614","","49153  >  69 Len=2048"
"302","73.994122","169.1.4.3","169.1.3.2","UDP","614","","49153  >  69 Len=2048"
"306","74.994122","169.1.4.3","169.1.3.2","UDP","614","","49153  >  69 Len=2048"
"310","75.994122","169.1.4.3","169.1.3.2","UDP","614","","49153  >  69 Len=2048"
"314","76.994122","169.1.4.3","169.1.3.2","UDP","614","","49153  >  69 Len=2048"
"318","77.994122","169.1.4.3","169.1.3.2","UDP","614","","49153  >  69 Len=2048"
"322","78.994122","169.1.4.3","169.1.3.2","UDP","614","","49153  >  69 Len=2048"
"326","79.994122","169.1.4.3","169.1.3.2","UDP","614","","49153  >  69 Len=2048"
"330","80.994122","169.1.4.3","169.1.3.2","UDP","614","","49153  >  69 Len=2048"
"334","81.994122","169.1.4.3","169.1.3.2","UDP","614","","49153  >  69 Len=2048"
"338","82.994122","169.1.4.3","169.1.3.2","UDP","614","","49153  >  69 Len=2048"
"342","83.994122","169.1.4.3","169.1.3.2","UDP","614","","49153  >  69 Len=2048"
"346","84.994122","169.1.4.3","169.1.3.2","UDP","614","","49153  >  69 Len=2048"
"350","85.994122","169.1.4.3","169.1.3.2","UDP","614","","49153  >  69 Len=2048"
"354","86.994122","169.1.4.3","169.1.3.2","UDP","614","","49153  >  69 Len=2048"
"358","87.994122","169.1.4.3","169.1.3.2","UDP","614","","49153  >  69 Len=2048"
"362","88.994122","169.1.4.3","169.1.3.2","UDP","614","","49153  >  69 Len=2048"
"366","89.994122","169.1.4.3","169.1.3.2","UDP","614","","49153  >  69 Len=2048"
"370","90.994122","169.1.4.3","169.1.3.2","UDP","614","","49153  >  69 Len=2048"
"374","91.994122","169.1.4.3","169.1.3.2","UDP","614","","49153  >  69 Len=2048"
"378","92.994122","169.1.4.3","169.1.3.2","UDP","614","","49153  >  69 Len=2048"
"382","93.994122","169.1.4.3","169.1.3.2","UDP","614","","49153  >  69 Len=2048"
"386","94.994122","169.1.4.3","169.1.3.2","UDP","614","","49153  >  69 Len=2048"
"390","95.994122","169.1.4.3","169.1.3.2","UDP","614","","49153  >  69 Len=2048"
"394","96.994122","169.1.4.3","169.1.3.2","UDP","614","","49153  >  69 Len=2048"
